tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp,total,code generation,compilation,execution,error level,error message
512,128,256,128,-1,1119,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
8,16,2,16,-1,1121,2.0,-1,-1,-1,CONSTRAINTS_ERROR,
256,512,1,64,-1,1121,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
256,512,256,2,-1,1122,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,4,2,2,-1,1122,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
512,256,1,4,-1,1123,1.0,-1,-1,-1,CONSTRAINTS_ERROR,
256,128,4,2,-1,1123,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,1024,128,512,-1,1123,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,4,8,1,-1,1123,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
64,64,1,2,-1,1124,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
8,1024,8,4,-1,1124,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
32,1024,8,8,-1,1124,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,32,1024,2,-1,1125,1.0,-1,-1,-1,CONSTRAINTS_ERROR,
128,1024,32,256,-1,1125,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,4,512,1,-1,1125,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
64,128,2,16,-1,1126,1.0,-1,-1,-1,CONSTRAINTS_ERROR,
256,8,16,8,-1,1126,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
512,32,8,16,-1,1126,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
512,32,2,8,-1,1126,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1,256,1,32,-1,1127,1.0,-1,-1,-1,CONSTRAINTS_ERROR,
