tuned_gs0,tuned_ls0,runtime,timestamp,total,code generation,compilation,execution,error level,error message
1024,2,0.00432,1685,555.0,7.0,173.0,255.0,NO_ERROR,
256,1,0.004096,2268,583.0,8.0,182.0,264.0,NO_ERROR,
32,16,0.005408,2840,571.0,6.0,173.0,272.0,NO_ERROR,
1024,128,0.00384,3418,578.0,4.0,173.0,278.0,NO_ERROR,
64,32,0.004352,4009,590.0,5.0,176.0,284.0,NO_ERROR,
64,1,0.005152,4568,559.0,4.0,182.0,247.0,NO_ERROR,
2,1,0.02864,5138,570.0,3.0,170.0,274.0,NO_ERROR,
32,4,0.00496,5702,564.0,4.0,170.0,269.0,NO_ERROR,
64,64,0.00432,6293,591.0,3.0,176.0,288.0,NO_ERROR,
1024,1024,0.004096,6874,581.0,4.0,178.0,272.0,NO_ERROR,
512,64,0.004448,7460,586.0,5.0,174.0,286.0,NO_ERROR,
64,8,0.004096,8045,585.0,4.0,178.0,276.0,NO_ERROR,
256,64,0.003872,8625,580.0,4.0,195.0,261.0,NO_ERROR,
32,1,0.004992,9166,540.0,3.0,173.0,244.0,NO_ERROR,
32,2,0.00512,9710,543.0,3.0,168.0,252.0,NO_ERROR,
512,128,0.004096,10271,561.0,4.0,178.0,258.0,NO_ERROR,
512,256,0.004096,10828,557.0,3.0,176.0,258.0,NO_ERROR,
512,512,0.004096,11387,558.0,3.0,172.0,261.0,NO_ERROR,
64,4,0.005248,11973,586.0,3.0,173.0,284.0,NO_ERROR,
8,4,0.01008,12560,587.0,3.0,176.0,284.0,NO_ERROR,
128,16,0.004096,13120,559.0,4.0,183.0,248.0,NO_ERROR,
