tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp,total,code generation,compilation,execution,error level,error message
256,1024,128,1024,-1,1903,745.0,144.0,180.0,267.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
1024,1024,64,16,0.014336,2659,755.0,14.0,177.0,434.0,NO_ERROR,
1024,512,4,8,0.018656,3322,663.0,12.0,178.0,353.0,NO_ERROR,
8,512,1,16,0.008672,4019,697.0,8.0,180.0,385.0,NO_ERROR,
8,16,8,8,0.008192,4605,586.0,9.0,175.0,282.0,NO_ERROR,
1024,64,1,2,0.034816,5311,706.0,10.0,181.0,393.0,NO_ERROR,
128,128,128,16,-1,5778,467.0,7.0,181.0,158.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
4,512,1,64,0.012288,6444,665.0,7.0,180.0,358.0,NO_ERROR,
64,64,4,2,0.005952,7047,603.0,7.0,178.0,282.0,NO_ERROR,
1024,128,64,128,-1,7514,466.0,7.0,174.0,160.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
128,256,1,16,0.005984,8150,636.0,6.0,177.0,327.0,NO_ERROR,
128,16,2,8,0.003712,8782,631.0,5.0,178.0,321.0,NO_ERROR,
32,16,2,2,0.004352,9501,719.0,8.0,183.0,405.0,NO_ERROR,
128,1024,32,256,-1,9973,472.0,6.0,181.0,157.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
8,8,4,1,0.00816,10610,637.0,15.0,178.0,321.0,NO_ERROR,
1,512,1,32,0.028,11353,743.0,6.0,178.0,425.0,NO_ERROR,
128,1024,16,1,0.013824,11987,634.0,5.0,179.0,324.0,NO_ERROR,
16,64,1,32,0.00576,12624,636.0,5.0,174.0,333.0,NO_ERROR,
1024,8,4,8,0.004096,13257,633.0,5.0,181.0,320.0,NO_ERROR,
1024,2,1024,2,-1,13772,515.0,6.0,184.0,202.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
