tuned_gs0,tuned_ls0,runtime,timestamp,total,code generation,compilation,execution,error level,error message
512,512,-1,1123,1.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,512,-1,1123,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
32,2,-1,1123,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
16,1,-1,1123,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,64,-1,1123,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
8,1,-1,1124,1.0,-1,-1,-1,CONSTRAINTS_ERROR,
128,4,-1,1124,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
32,4,-1,1124,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
32,1,-1,1124,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
128,2,-1,1124,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
16,16,-1,1124,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,32,-1,1124,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
64,16,-1,1124,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
8,2,-1,1125,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
256,4,-1,1125,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,4,-1,1125,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,128,-1,1125,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
128,1,-1,1125,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
64,2,-1,1125,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
512,1,-1,1125,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
