tuned_gs0,tuned_ls0,runtime,timestamp,total,code generation,compilation,execution,error level,error message
256,16,0.004096,1730,587.0,2.0,178.0,281.0,NO_ERROR,
32,32,0.006336,2310,580.0,3.0,179.0,276.0,NO_ERROR,
16,8,0.006624,2887,577.0,2.0,178.0,275.0,NO_ERROR,
512,1,0.00448,3462,575.0,3.0,181.0,271.0,NO_ERROR,
64,64,0.004288,4038,575.0,3.0,180.0,272.0,NO_ERROR,
512,256,0.004096,4623,585.0,2.0,178.0,278.0,NO_ERROR,
128,16,0.003968,5197,574.0,4.0,191.0,254.0,NO_ERROR,
1024,256,0.004096,5754,557.0,3.0,172.0,261.0,NO_ERROR,
512,64,0.003872,6340,586.0,2.0,179.0,283.0,NO_ERROR,
64,32,0.004192,6889,549.0,2.0,176.0,246.0,NO_ERROR,
256,128,0.004096,7467,577.0,2.0,174.0,279.0,NO_ERROR,
1024,8,0.004096,8020,553.0,2.0,175.0,254.0,NO_ERROR,
64,1,0.004512,8605,585.0,2.0,181.0,276.0,NO_ERROR,
256,64,0.003904,9166,561.0,3.0,175.0,263.0,NO_ERROR,
2,1,0.028672,9743,577.0,2.0,176.0,273.0,NO_ERROR,
32,4,0.005024,10322,578.0,3.0,179.0,263.0,NO_ERROR,
512,32,0.004128,10868,546.0,2.0,173.0,254.0,NO_ERROR,
1024,128,0.003648,11416,548.0,3.0,174.0,253.0,NO_ERROR,
128,64,0.004064,11998,582.0,2.0,173.0,289.0,NO_ERROR,
32,8,0.005376,12566,568.0,2.0,183.0,259.0,NO_ERROR,
512,16,0.004096,13140,573.0,2.0,181.0,267.0,NO_ERROR,
