tuned_gs0,tuned_ls0,runtime,timestamp,total,code generation,compilation,execution,error level,error message
512,32,0.004096,2005,822.0,130.0,185.0,359.0,NO_ERROR,
256,8,0.004096,2588,582.0,14.0,182.0,263.0,NO_ERROR,
32,1,0.005952,3164,576.0,12.0,180.0,260.0,NO_ERROR,
32,8,0.005376,3755,591.0,9.0,182.0,275.0,NO_ERROR,
1024,1024,0.004096,4334,579.0,8.0,182.0,266.0,NO_ERROR,
1024,128,0.004096,4926,592.0,7.0,175.0,284.0,NO_ERROR,
32,4,0.005984,5767,840.0,9.0,195.0,506.0,NO_ERROR,
1,1,0.027072,6546,778.0,15.0,241.0,245.0,NO_ERROR,
2,2,0.028672,7158,611.0,8.0,181.0,293.0,NO_ERROR,
4,4,0.01616,7740,582.0,7.0,182.0,270.0,NO_ERROR,
1024,256,0.004,8338,598.0,7.0,181.0,287.0,NO_ERROR,
2,1,0.028288,8884,546.0,6.0,183.0,232.0,NO_ERROR,
8,2,0.01024,9469,584.0,7.0,184.0,271.0,NO_ERROR,
512,2,0.004096,10077,608.0,7.0,179.0,290.0,NO_ERROR,
64,2,0.004096,10647,569.0,6.0,177.0,262.0,NO_ERROR,
32,16,0.005184,11239,592.0,5.0,188.0,275.0,NO_ERROR,
64,32,0.004256,11819,580.0,5.0,183.0,271.0,NO_ERROR,
512,16,0.003872,12422,603.0,5.0,185.0,281.0,NO_ERROR,
512,128,0.004096,13005,583.0,6.0,176.0,280.0,NO_ERROR,
16,4,0.006976,13594,589.0,5.0,179.0,281.0,NO_ERROR,
1024,32,0.005344,14197,602.0,6.0,180.0,285.0,NO_ERROR,
