tuned_gs0,tuned_ls0,runtime,timestamp,total,code generation,compilation,execution,error level,error message
512,512,0.004128,1711,600.0,5.0,177.0,296.0,NO_ERROR,
512,32,0.004096,2274,563.0,5.0,176.0,263.0,NO_ERROR,
32,2,0.006176,2897,623.0,5.0,181.0,310.0,NO_ERROR,
128,64,0.004096,3458,561.0,5.0,179.0,253.0,NO_ERROR,
4,1,0.016384,4052,594.0,3.0,172.0,295.0,NO_ERROR,
8,1,0.010112,4646,594.0,4.0,180.0,287.0,NO_ERROR,
256,1,0.004128,5233,587.0,7.0,175.0,271.0,NO_ERROR,
16,4,0.006752,5815,582.0,3.0,183.0,278.0,NO_ERROR,
64,16,0.004224,6390,574.0,4.0,175.0,272.0,NO_ERROR,
1024,256,0.004096,6982,592.0,4.0,176.0,289.0,NO_ERROR,
512,256,0.004096,7567,585.0,4.0,177.0,286.0,NO_ERROR,
512,4,0.004096,8149,581.0,4.0,182.0,272.0,NO_ERROR,
1024,16,0.003648,8718,569.0,3.0,177.0,270.0,NO_ERROR,
1024,128,0.004096,9271,553.0,4.0,177.0,250.0,NO_ERROR,
256,8,0.003488,9842,571.0,3.0,177.0,264.0,NO_ERROR,
8,2,0.01024,10432,590.0,3.0,178.0,285.0,NO_ERROR,
512,1,0.004192,11027,594.0,3.0,181.0,288.0,NO_ERROR,
128,128,0.004096,11620,593.0,3.0,183.0,282.0,NO_ERROR,
1024,8,0.003424,12269,649.0,5.0,179.0,344.0,NO_ERROR,
128,32,0.003744,12857,588.0,3.0,185.0,277.0,NO_ERROR,
