tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp,total,code generation,compilation,execution,error level,error message
256,1024,128,512,-1,1950,550.0,4.0,170.0,253.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
16,8,1,8,0.005632,2673,723.0,3.0,178.0,421.0,NO_ERROR,
64,2,1,1,0.003904,3441,768.0,4.0,177.0,464.0,NO_ERROR,
1024,512,512,32,-1,3997,556.0,3.0,179.0,249.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
512,1024,64,16,0.011616,4730,733.0,3.0,178.0,426.0,NO_ERROR,
128,512,1,4,0.020832,5472,741.0,3.0,178.0,438.0,NO_ERROR,
32,64,32,1,0.004384,6184,712.0,3.0,176.0,416.0,NO_ERROR,
64,512,1,256,0.005792,6908,724.0,3.0,173.0,424.0,NO_ERROR,
8,256,1,8,0.008576,7622,714.0,3.0,176.0,414.0,NO_ERROR,
64,1024,16,8,0.007168,8380,758.0,4.0,171.0,458.0,NO_ERROR,
1024,256,512,64,-1,8935,555.0,3.0,186.0,246.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
1024,16,512,2,0.003904,9549,614.0,3.0,178.0,308.0,NO_ERROR,
32,4,4,1,0.004128,10252,703.0,3.0,183.0,390.0,NO_ERROR,
512,2,512,1,0.003104,10869,617.0,4.0,179.0,306.0,NO_ERROR,
4,32,4,1,0.013344,11440,571.0,4.0,182.0,261.0,NO_ERROR,
8,512,4,1,0.014496,12097,657.0,3.0,184.0,337.0,NO_ERROR,
1024,512,8,128,0.009568,12817,720.0,4.0,183.0,409.0,NO_ERROR,
256,128,256,128,-1,13276,458.0,5.0,183.0,141.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
256,32,128,8,0.00368,13957,681.0,2.0,188.0,366.0,NO_ERROR,
1024,128,2,128,0.004544,14576,619.0,3.0,177.0,309.0,NO_ERROR,
