tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp,total,code generation,compilation,execution,error level,error message
256,1024,32,1024,-1,1318,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,2,64,2,-1,1333,1.0,-1,-1,-1,CONSTRAINTS_ERROR,
64,64,4,1,-1,1333,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,512,512,32,-1,1333,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
16,256,2,64,-1,1334,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
16,64,4,64,-1,1334,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
16,1024,4,64,-1,1334,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
4,8,2,2,-1,1335,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
4,256,2,256,-1,1335,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
32,16,16,4,-1,1336,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
4,1024,4,256,-1,1336,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,8,128,2,-1,1336,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
128,8,4,4,-1,1337,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
32,256,32,2,-1,1337,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
512,32,4,4,-1,1337,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
256,8,8,2,-1,1338,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
32,1024,16,64,-1,1338,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
32,64,32,64,-1,1338,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
8,512,1,256,-1,1339,1.0,-1,-1,-1,CONSTRAINTS_ERROR,
128,1024,1,2,-1,1339,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
