tuned_gs0,tuned_ls0,runtime,Valid,Timestamp
512,64,-1.0,False,1630508788577
512,32,-1.0,False,1630508788577
128,64,-1.0,False,1630508788577
32,32,-1.0,False,1630508788577
1024,512,-1.0,False,1630508788577
8,8,-1.0,False,1630508788577
128,32,-1.0,False,1630508788577
16,16,-1.0,False,1630508788577
16,4,-1.0,False,1630508788577
256,64,-1.0,False,1630508788577
16,8,-1.0,False,1630508788577
512,16,-1.0,False,1630508788577
16,1,-1.0,False,1630508788577
1024,128,-1.0,False,1630508788577
256,8,-1.0,False,1630508788577
1024,64,-1.0,False,1630508788577
128,16,-1.0,False,1630508788577
8,1,-1.0,False,1630508788577
512,512,-1.0,False,1630508788577
512,1,-1.0,False,1630508788577
