tuned_gs0,tuned_ls0,runtime,timestamp,total,code generation,compilation,execution,error level,error message
512,512,0.004096,1937,770.0,134.0,177.0,310.0,NO_ERROR,
512,2,0.004224,2531,594.0,14.0,175.0,280.0,NO_ERROR,
256,2,0.004832,3148,617.0,11.0,188.0,293.0,NO_ERROR,
512,64,0.004096,3738,590.0,11.0,178.0,259.0,NO_ERROR,
32,8,0.005408,4324,586.0,9.0,179.0,271.0,NO_ERROR,
64,32,0.004096,4920,596.0,8.0,174.0,292.0,NO_ERROR,
1024,1,0.004992,5502,581.0,9.0,182.0,267.0,NO_ERROR,
1024,8,0.004032,6030,528.0,7.0,183.0,210.0,NO_ERROR,
8,2,0.010112,6625,595.0,7.0,177.0,290.0,NO_ERROR,
512,32,0.004096,7242,617.0,6.0,199.0,280.0,NO_ERROR,
128,4,0.004096,7810,568.0,6.0,181.0,259.0,NO_ERROR,
128,1,0.005344,8402,592.0,6.0,177.0,284.0,NO_ERROR,
32,32,0.00448,8996,594.0,6.0,179.0,287.0,NO_ERROR,
1024,256,0.004576,9586,590.0,5.0,197.0,264.0,NO_ERROR,
1024,2,0.004448,10170,583.0,6.0,177.0,265.0,NO_ERROR,
128,64,0.003936,10788,617.0,6.0,182.0,295.0,NO_ERROR,
256,16,0.003648,11344,556.0,5.0,182.0,244.0,NO_ERROR,
256,1,0.004096,11956,612.0,5.0,179.0,302.0,NO_ERROR,
32,4,0.005312,12523,566.0,5.0,173.0,270.0,NO_ERROR,
64,16,0.00512,13091,568.0,5.0,172.0,269.0,NO_ERROR,
128,8,0.003872,13660,568.0,7.0,174.0,266.0,NO_ERROR,
