tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp,total,code generation,compilation,execution,error level,error message
512,128,512,1,0.006144,1807,611.0,4.0,179.0,301.0,NO_ERROR,
1024,32,32,4,0.003232,2422,614.0,4.0,179.0,309.0,NO_ERROR,
512,1024,32,1024,-1,2944,522.0,3.0,176.0,220.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
128,128,128,1,0.00416,3678,733.0,4.0,177.0,431.0,NO_ERROR,
4,8,2,4,0.012288,4301,623.0,3.0,181.0,312.0,NO_ERROR,
1024,1024,1,32,0.034816,4866,565.0,3.0,175.0,264.0,NO_ERROR,
512,256,64,8,0.00464,5440,573.0,3.0,177.0,267.0,NO_ERROR,
64,8,1,2,0.004096,6099,659.0,2.0,180.0,356.0,NO_ERROR,
1024,32,512,1,0.00368,6779,680.0,3.0,184.0,372.0,NO_ERROR,
32,256,4,2,0.008672,7399,620.0,2.0,179.0,308.0,NO_ERROR,
32,16,8,8,0.00416,8037,638.0,3.0,187.0,328.0,NO_ERROR,
32,512,8,16,0.004768,8736,699.0,4.0,182.0,393.0,NO_ERROR,
256,1024,64,64,-1,9204,467.0,3.0,179.0,165.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
1024,1024,512,2,0.013504,9887,683.0,4.0,202.0,359.0,NO_ERROR,
256,64,1,4,0.00736,10540,653.0,3.0,180.0,349.0,NO_ERROR,
1024,512,1024,128,-1,11026,485.0,3.0,200.0,160.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
512,64,64,16,0.003392,11744,718.0,4.0,182.0,409.0,NO_ERROR,
512,32,32,16,0.003424,12320,576.0,4.0,179.0,268.0,NO_ERROR,
16,256,2,32,0.006144,12971,650.0,3.0,178.0,350.0,NO_ERROR,
64,512,32,1,0.006368,13555,584.0,3.0,178.0,279.0,NO_ERROR,
