tuned_tp18,tuned_gs0,tuned_ls0,runtime,timestamp,total,code generation,compilation,execution,error level,error message
64,512,2,0.004096,1764,609.0,4.0,172.0,311.0,NO_ERROR,
512,256,1,0.011616,2387,622.0,4.0,178.0,318.0,NO_ERROR,
2,512,256,0.004032,2985,598.0,5.0,176.0,290.0,NO_ERROR,
256,128,8,0.009376,3583,598.0,3.0,179.0,294.0,NO_ERROR,
4,4,2,0.008192,4176,593.0,3.0,181.0,286.0,NO_ERROR,
8,64,16,0.003872,4787,610.0,3.0,182.0,306.0,NO_ERROR,
32,256,128,0.005856,5392,605.0,5.0,182.0,299.0,NO_ERROR,
4,512,2,0.004096,5996,604.0,3.0,179.0,299.0,NO_ERROR,
512,8,8,0.012288,6626,630.0,3.0,193.0,312.0,NO_ERROR,
128,4,4,0.008864,7229,603.0,3.0,175.0,299.0,NO_ERROR,
64,64,32,0.004768,7832,603.0,3.0,184.0,292.0,NO_ERROR,
256,512,64,0.009312,8438,606.0,3.0,180.0,303.0,NO_ERROR,
128,2,1,0.012224,9355,917.0,3.0,254.0,532.0,NO_ERROR,
1,128,128,0.003488,9979,623.0,10.0,177.0,277.0,NO_ERROR,
32,64,8,0.0032,10596,617.0,5.0,184.0,308.0,NO_ERROR,
16,256,8,0.0032,11187,591.0,4.0,179.0,286.0,NO_ERROR,
1,32,2,0.004096,11745,558.0,3.0,176.0,260.0,NO_ERROR,
32,4,2,0.00752,12367,622.0,4.0,175.0,318.0,NO_ERROR,
32,128,8,0.004096,12994,627.0,5.0,178.0,319.0,NO_ERROR,
16,32,8,0.0048,13593,599.0,4.0,179.0,297.0,NO_ERROR,
256,128,128,0.009504,14191,598.0,3.0,183.0,294.0,NO_ERROR,
1,1024,512,0.003968,14758,566.0,3.0,175.0,259.0,NO_ERROR,
256,4,1,0.007776,15342,584.0,3.0,172.0,288.0,NO_ERROR,
128,2,2,0.012416,15926,584.0,4.0,177.0,281.0,NO_ERROR,
4,512,64,0.003936,16537,611.0,4.0,179.0,307.0,NO_ERROR,
256,128,16,0.007456,17213,676.0,3.0,176.0,368.0,NO_ERROR,
128,512,1,0.004384,17848,635.0,3.0,174.0,339.0,NO_ERROR,
2,256,8,0.00464,18461,613.0,4.0,176.0,311.0,NO_ERROR,
512,16,8,0.009664,19060,599.0,3.0,181.0,287.0,NO_ERROR,
1,32,8,0.004096,19636,575.0,3.0,176.0,274.0,NO_ERROR,
1,4,1,0.014496,20216,578.0,4.0,180.0,265.0,NO_ERROR,
