tuned_gs0,tuned_ls0,runtime,Valid,Timestamp
2,1,0.02864,True,1630511461243
1024,512,0.004096,True,1630511461243
8,4,0.010144,True,1630511461243
128,16,0.004096,True,1630511461243
1024,1,0.005184,True,1630511461243
512,32,0.004096,True,1630511461243
512,16,0.004096,True,1630511461243
512,4,0.005152,True,1630511461243
4,1,0.016384,True,1630511461243
512,64,0.004096,True,1630511461243
64,2,0.004032,True,1630511461243
128,2,0.004128,True,1630511461243
1024,16,0.003936,True,1630511461243
1024,2,0.004128,True,1630511461243
32,1,0.005056,True,1630511461243
256,32,0.004,True,1630511461243
512,2,0.003968,True,1630511461243
32,16,0.0056,True,1630511461243
256,1,0.004096,True,1630511461243
128,4,0.003648,True,1630511461243
256,16,0.003712,True,1630511461827
