tuned_gs0,tuned_ls0,runtime,Valid,Timestamp
512,512,-1.0,False,1630508594973
1024,512,-1.0,False,1630508594973
32,2,-1.0,False,1630508594973
16,1,-1.0,False,1630508594973
1024,64,-1.0,False,1630508594973
8,1,-1.0,False,1630508594973
128,4,-1.0,False,1630508594973
32,4,-1.0,False,1630508594973
32,1,-1.0,False,1630508594973
128,2,-1.0,False,1630508594973
16,16,-1.0,False,1630508594973
1024,32,-1.0,False,1630508594973
64,16,-1.0,False,1630508594973
8,2,-1.0,False,1630508594973
256,4,-1.0,False,1630508594973
1024,4,-1.0,False,1630508594973
1024,128,-1.0,False,1630508594973
128,1,-1.0,False,1630508594973
64,2,-1.0,False,1630508594973
512,1,-1.0,False,1630508594973
