tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,Timestamp
512,128,512,1,0.006144,True,1630502076229
1024,32,32,4,0.003232,True,1630502076229
512,1024,32,1024,-1.0,False,1630502076229
128,128,128,1,0.00416,True,1630502076229
4,8,2,4,0.012288,True,1630502076229
1024,1024,1,32,0.034816,True,1630502076229
512,256,64,8,0.00464,True,1630502076229
64,8,1,2,0.004096,True,1630502076229
1024,32,512,1,0.00368,True,1630502076229
32,256,4,2,0.008672,True,1630502076229
32,16,8,8,0.00416,True,1630502076229
32,512,8,16,0.004768,True,1630502076229
256,1024,64,64,-1.0,False,1630502076229
1024,1024,512,2,0.013504,True,1630502076229
256,64,1,4,0.00736,True,1630502076229
1024,512,1024,128,-1.0,False,1630502076229
512,64,64,16,0.003392,True,1630502076229
512,32,32,16,0.003424,True,1630502076229
16,256,2,32,0.006144,True,1630502076229
64,512,32,1,0.006368,True,1630502076229
