tuned_gs0,tuned_ls0,runtime,timestamp,total,code generation,compilation,execution,error level,error message
64,4,0.004128,1727,587.0,6.0,178.0,279.0,NO_ERROR,
1024,1024,0.003616,2300,573.0,5.0,178.0,269.0,NO_ERROR,
8,2,0.009888,2859,559.0,4.0,183.0,252.0,NO_ERROR,
512,128,0.004064,3420,561.0,6.0,179.0,254.0,NO_ERROR,
8,8,0.01024,4042,622.0,5.0,176.0,318.0,NO_ERROR,
8,4,0.007968,4718,676.0,4.0,180.0,358.0,NO_ERROR,
4,2,0.012352,5337,618.0,4.0,176.0,317.0,NO_ERROR,
256,64,0.004,5933,595.0,4.0,184.0,279.0,NO_ERROR,
512,2,0.003904,6525,592.0,4.0,194.0,273.0,NO_ERROR,
1024,32,0.003392,7076,551.0,3.0,180.0,242.0,NO_ERROR,
16,8,0.005568,7674,598.0,5.0,179.0,292.0,NO_ERROR,
16,4,0.005856,8250,576.0,4.0,176.0,276.0,NO_ERROR,
256,32,0.002848,8835,585.0,3.0,179.0,280.0,NO_ERROR,
256,8,0.003776,9376,540.0,4.0,169.0,248.0,NO_ERROR,
16,1,0.006624,9941,564.0,5.0,179.0,260.0,NO_ERROR,
128,1,0.004096,10503,562.0,4.0,175.0,262.0,NO_ERROR,
64,1,0.004416,11084,581.0,3.0,174.0,285.0,NO_ERROR,
1024,128,0.003712,11648,564.0,3.0,182.0,256.0,NO_ERROR,
32,4,0.004896,12218,570.0,2.0,180.0,264.0,NO_ERROR,
128,128,0.00416,12797,579.0,4.0,179.0,274.0,NO_ERROR,
64,32,0.004256,13366,568.0,4.0,173.0,265.0,NO_ERROR,
