tuned_tp18,tuned_gs0,tuned_ls0,runtime,timestamp,total,code generation,compilation,execution,error level,error message
1,256,128,0.004,1768,586.0,17.0,175.0,265.0,NO_ERROR,
512,256,8,0.012288,2384,616.0,8.0,176.0,312.0,NO_ERROR,
128,64,64,0.007168,2995,611.0,6.0,177.0,309.0,NO_ERROR,
2,512,4,0.00544,3826,831.0,8.0,181.0,508.0,NO_ERROR,
1,32,1,0.004544,4627,800.0,12.0,274.0,253.0,NO_ERROR,
32,512,1,0.004096,5242,614.0,5.0,179.0,313.0,NO_ERROR,
64,1,1,0.014336,5847,605.0,5.0,178.0,300.0,NO_ERROR,
32,512,64,0.006048,6433,585.0,4.0,178.0,282.0,NO_ERROR,
64,32,32,0.005376,7062,629.0,6.0,176.0,324.0,NO_ERROR,
8,256,64,0.004096,7686,624.0,5.0,182.0,315.0,NO_ERROR,
64,256,8,0.00416,8304,617.0,8.0,179.0,305.0,NO_ERROR,
256,1024,128,0.009472,8922,618.0,5.0,184.0,302.0,NO_ERROR,
4,1024,64,0.004064,9515,593.0,5.0,179.0,284.0,NO_ERROR,
1,512,1,0.004736,10075,559.0,4.0,176.0,260.0,NO_ERROR,
4,512,512,0.003744,10676,601.0,4.0,173.0,297.0,NO_ERROR,
128,128,1,0.00592,11290,614.0,3.0,180.0,306.0,NO_ERROR,
128,1024,256,0.006656,11914,624.0,5.0,178.0,318.0,NO_ERROR,
2,8,1,0.007648,12516,601.0,4.0,182.0,294.0,NO_ERROR,
16,256,1,0.004608,13152,636.0,4.0,185.0,318.0,NO_ERROR,
2,256,4,0.003776,13757,605.0,4.0,182.0,300.0,NO_ERROR,
128,128,64,0.006592,14358,601.0,5.0,180.0,294.0,NO_ERROR,
4,512,1,0.004096,14962,604.0,4.0,179.0,300.0,NO_ERROR,
2,1024,1,0.004992,15587,624.0,4.0,181.0,317.0,NO_ERROR,
32,128,8,0.004096,16192,605.0,4.0,183.0,293.0,NO_ERROR,
4,256,2,0.004096,16771,579.0,4.0,176.0,281.0,NO_ERROR,
8,64,32,0.004256,17397,626.0,4.0,181.0,318.0,NO_ERROR,
256,512,256,0.009472,18010,613.0,4.0,177.0,308.0,NO_ERROR,
128,512,16,0.009536,18643,633.0,3.0,183.0,322.0,NO_ERROR,
8,128,32,0.004032,19255,612.0,3.0,182.0,302.0,NO_ERROR,
512,128,4,0.012384,19851,596.0,4.0,176.0,290.0,NO_ERROR,
64,4,1,0.004736,20461,609.0,3.0,181.0,303.0,NO_ERROR,
