tuned_tp18,tuned_gs0,tuned_ls0,runtime,Valid,Timestamp
8,128,128,0.004096,True,1630511502008
64,2,2,0.009216,True,1630511502008
8,16,4,0.004096,True,1630511502008
4,16,4,0.004544,True,1630511502008
4,4,2,0.008192,True,1630511502008
64,8,1,0.00512,True,1630511502008
2,1024,32,0.004064,True,1630511502008
16,1024,2,0.00432,True,1630511502008
1,128,1,0.003904,True,1630511502008
512,128,16,0.012384,True,1630511502008
512,1024,8,0.012288,True,1630511502008
4,64,16,0.004096,True,1630511502008
16,8,2,0.006304,True,1630511502008
256,8,8,0.009536,True,1630511502008
2,4,2,0.010752,True,1630511502008
16,1024,256,0.004768,True,1630511502008
128,64,4,0.007616,True,1630511502008
4,256,8,0.004352,True,1630511502008
128,64,2,0.004416,True,1630511502008
32,128,2,0.004096,True,1630511502008
16,128,64,0.00512,True,1630511502008
32,64,64,0.006144,True,1630511502008
256,256,32,0.009344,True,1630511502008
512,1024,256,0.012288,True,1630511502008
16,512,64,0.004768,True,1630511502008
2,32,2,0.005152,True,1630511502008
32,64,16,0.00432,True,1630511502008
8,1024,256,0.003936,True,1630511502008
4,32,32,0.004096,True,1630511502008
512,16,16,0.01232,True,1630511502008
256,128,2,0.008096,True,1630511502631
