tuned_gs0,tuned_ls0,runtime,Valid,Timestamp
256,256,0.003552,True,1630508973311
1024,2,0.004256,True,1630508973311
256,2,0.004096,True,1630508973311
512,4,0.004096,True,1630508973311
32,2,0.005408,True,1630508973311
64,32,0.004288,True,1630508973311
32,4,0.0056,True,1630508973311
128,128,0.004096,True,1630508973311
256,32,0.003904,True,1630508973311
128,64,0.004096,True,1630508973311
1024,64,0.004928,True,1630508973311
4,2,0.016384,True,1630508973311
128,4,0.004096,True,1630508973311
256,16,0.003872,True,1630508973311
512,1,0.004416,True,1630508973311
16,1,0.006528,True,1630508973311
512,64,0.004064,True,1630508973311
512,16,0.004,True,1630508973311
1,1,0.035616,True,1630508973311
256,1,0.004096,True,1630508973311
1024,32,0.003904,True,1630508973890
