tuned_gs0,tuned_ls0,runtime,Valid,Timestamp
1024,2,0.00432,True,1630509535797
256,1,0.004096,True,1630509535797
32,16,0.005408,True,1630509535797
1024,128,0.00384,True,1630509535797
64,32,0.004352,True,1630509535797
64,1,0.005152,True,1630509535797
2,1,0.02864,True,1630509535797
32,4,0.00496,True,1630509535797
64,64,0.00432,True,1630509535797
1024,1024,0.004096,True,1630509535797
512,64,0.004448,True,1630509535797
64,8,0.004096,True,1630509535797
256,64,0.003872,True,1630509535797
32,1,0.004992,True,1630509535797
32,2,0.00512,True,1630509535797
512,128,0.004096,True,1630509535797
512,256,0.004096,True,1630509535797
512,512,0.004096,True,1630509535797
64,4,0.005248,True,1630509535797
8,4,0.01008,True,1630509535797
128,16,0.004096,True,1630509536357
