tuned_gs0,tuned_ls0,runtime,Valid,Timestamp
512,512,0.004128,True,1630508580984
512,32,0.004096,True,1630508580984
32,2,0.006176,True,1630508580984
128,64,0.004096,True,1630508580984
4,1,0.016384,True,1630508580984
8,1,0.010112,True,1630508580984
256,1,0.004128,True,1630508580984
16,4,0.006752,True,1630508580984
64,16,0.004224,True,1630508580984
1024,256,0.004096,True,1630508580984
512,256,0.004096,True,1630508580984
512,4,0.004096,True,1630508580984
1024,16,0.003648,True,1630508580984
1024,128,0.004096,True,1630508580984
256,8,0.003488,True,1630508580984
8,2,0.01024,True,1630508580984
512,1,0.004192,True,1630508580984
128,128,0.004096,True,1630508580984
1024,8,0.003424,True,1630508580984
128,32,0.003744,True,1630508580984
