tuned_tp18,tuned_gs0,tuned_ls0,runtime,Valid,Timestamp
64,512,2,0.004096,True,1630509294172
512,256,1,0.011616,True,1630509294172
2,512,256,0.004032,True,1630509294172
256,128,8,0.009376,True,1630509294172
4,4,2,0.008192,True,1630509294172
8,64,16,0.003872,True,1630509294172
32,256,128,0.005856,True,1630509294172
4,512,2,0.004096,True,1630509294172
512,8,8,0.012288,True,1630509294172
128,4,4,0.008864,True,1630509294172
64,64,32,0.004768,True,1630509294172
256,512,64,0.009312,True,1630509294172
128,2,1,0.012224,True,1630509294172
1,128,128,0.003488,True,1630509294172
32,64,8,0.0032,True,1630509294172
16,256,8,0.0032,True,1630509294172
1,32,2,0.004096,True,1630509294172
32,4,2,0.00752,True,1630509294172
32,128,8,0.004096,True,1630509294172
16,32,8,0.0048,True,1630509294172
256,128,128,0.009504,True,1630509294172
1,1024,512,0.003968,True,1630509294172
256,4,1,0.007776,True,1630509294172
128,2,2,0.012416,True,1630509294172
4,512,64,0.003936,True,1630509294172
256,128,16,0.007456,True,1630509294172
128,512,1,0.004384,True,1630509294172
2,256,8,0.00464,True,1630509294172
512,16,8,0.009664,True,1630509294172
1,32,8,0.004096,True,1630509294172
1,4,1,0.014496,True,1630509294752
