tuned_tp18,tuned_gs0,tuned_ls0,runtime,Valid,Timestamp
1,512,512,0.004096,True,1630509260764
1,1024,512,0.004096,True,1630509260764
128,256,16,0.007264,True,1630509260764
2,512,8,0.004096,True,1630509260764
32,128,1,0.004064,True,1630509260764
64,128,2,0.004096,True,1630509260764
64,1024,512,0.004864,True,1630509260764
32,1,1,0.016384,True,1630509260764
4,4,1,0.008192,True,1630509260764
2,512,512,0.004032,True,1630509260764
2,32,2,0.00432,True,1630509260764
16,1024,512,0.004736,True,1630509260764
256,16,4,0.009312,True,1630509260764
8,32,16,0.004096,True,1630509260764
64,512,32,0.00512,True,1630509260764
64,256,64,0.00544,True,1630509260764
16,512,1,0.004096,True,1630509260764
4,8,4,0.006048,True,1630509260764
32,512,64,0.00576,True,1630509260764
256,256,1,0.008192,True,1630509260764
2,128,4,0.00384,True,1630509260764
512,32,4,0.012288,True,1630509260764
8,8,2,0.005632,True,1630509260764
8,128,64,0.004,True,1630509260764
32,32,16,0.004288,True,1630509260764
512,128,1,0.012288,True,1630509260764
16,128,1,0.004032,True,1630509260764
128,16,16,0.006304,True,1630509260764
128,1024,64,0.006752,True,1630509260764
8,512,16,0.004096,True,1630509260764
128,1024,32,0.00544,True,1630509261376
