tuned_gs0,tuned_ls0,runtime,timestamp,total,code generation,compilation,execution,error level,error message
8,4,0.01024,1724,576.0,3.0,176.0,270.0,NO_ERROR,
16,8,0.006848,2316,592.0,3.0,175.0,294.0,NO_ERROR,
256,256,0.004096,2906,589.0,3.0,178.0,287.0,NO_ERROR,
2,1,0.028672,3502,596.0,3.0,180.0,291.0,NO_ERROR,
1024,8,0.004064,4105,603.0,3.0,177.0,302.0,NO_ERROR,
16,2,0.006496,4710,605.0,4.0,184.0,294.0,NO_ERROR,
1024,2,0.004352,5287,577.0,3.0,180.0,267.0,NO_ERROR,
1024,1,0.005376,5901,614.0,4.0,177.0,311.0,NO_ERROR,
512,16,0.004096,6493,591.0,3.0,174.0,293.0,NO_ERROR,
32,8,0.006496,7074,581.0,2.0,185.0,271.0,NO_ERROR,
512,32,0.004064,7648,574.0,3.0,181.0,268.0,NO_ERROR,
256,4,0.004064,8229,581.0,3.0,180.0,272.0,NO_ERROR,
128,8,0.004096,8817,587.0,4.0,179.0,284.0,NO_ERROR,
256,2,0.004096,9376,559.0,3.0,172.0,268.0,NO_ERROR,
2,2,0.02768,9989,613.0,3.0,176.0,309.0,NO_ERROR,
128,32,0.003712,10553,564.0,4.0,176.0,264.0,NO_ERROR,
32,16,0.00496,11105,552.0,2.0,175.0,253.0,NO_ERROR,
512,128,0.004096,11695,590.0,2.0,182.0,284.0,NO_ERROR,
64,16,0.004224,12247,552.0,3.0,179.0,248.0,NO_ERROR,
128,1,0.003904,12839,592.0,3.0,181.0,289.0,NO_ERROR,
