tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,Timestamp
512,256,32,64,-1.0,False,1630502062668
2,512,2,256,-1.0,False,1630502062668
256,128,64,128,-1.0,False,1630502062668
4,512,4,16,-1.0,False,1630502062668
16,1024,16,128,-1.0,False,1630502062668
64,32,32,8,-1.0,False,1630502062668
128,128,16,128,-1.0,False,1630502062668
1024,16,8,8,-1.0,False,1630502062668
8,4,8,4,-1.0,False,1630502062668
256,256,64,4,-1.0,False,1630502062668
64,128,1,16,-1.0,False,1630502062668
512,256,4,4,-1.0,False,1630502062668
64,512,4,2,-1.0,False,1630502062668
1024,256,8,64,-1.0,False,1630502062668
1024,128,64,4,-1.0,False,1630502062668
1024,128,256,1,-1.0,False,1630502062668
256,256,2,16,-1.0,False,1630502062668
256,4,1,1,-1.0,False,1630502062668
512,32,16,1,-1.0,False,1630502062668
16,4,16,2,-1.0,False,1630502062668
