tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp,total,code generation,compilation,execution,error level,error message
512,256,32,64,-1,1147,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
2,512,2,256,-1,1147,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
256,128,64,128,-1,1147,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
4,512,4,16,-1,1147,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
16,1024,16,128,-1,1147,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
64,32,32,8,-1,1147,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
128,128,16,128,-1,1147,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,16,8,8,-1,1147,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
8,4,8,4,-1,1147,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
256,256,64,4,-1,1148,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
64,128,1,16,-1,1148,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
512,256,4,4,-1,1148,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
64,512,4,2,-1,1148,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,256,8,64,-1,1148,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,128,64,4,-1,1148,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,128,256,1,-1,1148,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
256,256,2,16,-1,1148,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
256,4,1,1,-1,1148,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
512,32,16,1,-1,1148,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
16,4,16,2,-1,1148,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
