tuned_tp18,tuned_gs0,tuned_ls0,runtime,timestamp,total,code generation,compilation,execution,error level,error message
128,512,64,0.006592,1740,607.0,3.0,183.0,299.0,NO_ERROR,
32,1024,4,0.004096,2358,618.0,3.0,176.0,310.0,NO_ERROR,
2,2,2,0.018304,2965,606.0,3.0,174.0,303.0,NO_ERROR,
16,2,2,0.012288,3546,581.0,3.0,178.0,274.0,NO_ERROR,
2,16,4,0.004992,4178,632.0,3.0,183.0,315.0,NO_ERROR,
512,256,2,0.012352,4788,610.0,3.0,185.0,295.0,NO_ERROR,
1,2,2,0.028672,5355,567.0,3.0,180.0,264.0,NO_ERROR,
4,256,128,0.003904,5960,605.0,3.0,180.0,302.0,NO_ERROR,
1,512,1,0.004224,6538,578.0,2.0,180.0,270.0,NO_ERROR,
1,1024,1,0.00528,7103,565.0,4.0,178.0,259.0,NO_ERROR,
32,64,4,0.004032,7698,595.0,3.0,182.0,290.0,NO_ERROR,
1,8,4,0.01024,8286,588.0,3.0,179.0,285.0,NO_ERROR,
64,512,32,0.004992,8908,621.0,3.0,181.0,312.0,NO_ERROR,
64,4,4,0.006848,9546,638.0,4.0,182.0,327.0,NO_ERROR,
32,128,2,0.004096,10139,593.0,3.0,181.0,286.0,NO_ERROR,
32,2,1,0.01024,10769,630.0,3.0,187.0,316.0,NO_ERROR,
512,1024,64,0.012288,11356,587.0,3.0,177.0,281.0,NO_ERROR,
64,8,8,0.005792,11963,607.0,4.0,176.0,305.0,NO_ERROR,
32,1024,1,0.004864,12590,626.0,2.0,177.0,320.0,NO_ERROR,
1,16,16,0.007424,13158,568.0,3.0,177.0,265.0,NO_ERROR,
64,32,16,0.00496,13779,621.0,3.0,183.0,312.0,NO_ERROR,
256,16,16,0.00864,14388,609.0,3.0,182.0,299.0,NO_ERROR,
512,1024,32,0.012096,15007,618.0,3.0,182.0,303.0,NO_ERROR,
512,128,64,0.012096,15620,613.0,4.0,179.0,301.0,NO_ERROR,
128,32,32,0.00672,16243,623.0,3.0,184.0,313.0,NO_ERROR,
32,8,4,0.005408,16888,645.0,7.0,185.0,331.0,NO_ERROR,
8,4,1,0.005952,17776,888.0,7.0,287.0,388.0,NO_ERROR,
256,256,32,0.008032,18320,544.0,3.0,183.0,232.0,NO_ERROR,
1,64,4,0.00416,18914,594.0,4.0,184.0,280.0,NO_ERROR,
1,512,8,0.004032,19505,591.0,3.0,192.0,268.0,NO_ERROR,
2,256,32,0.004096,20101,596.0,2.0,184.0,290.0,NO_ERROR,
