tuned_gs0,tuned_ls0,runtime,Valid,Timestamp
512,32,0.004096,True,1630511447655
256,8,0.004096,True,1630511447655
32,1,0.005952,True,1630511447655
32,8,0.005376,True,1630511447655
1024,1024,0.004096,True,1630511447655
1024,128,0.004096,True,1630511447655
32,4,0.005984,True,1630511447655
1,1,0.027072,True,1630511447655
2,2,0.028672,True,1630511447655
4,4,0.01616,True,1630511447655
1024,256,0.004,True,1630511447655
2,1,0.028288,True,1630511447655
8,2,0.01024,True,1630511447655
512,2,0.004096,True,1630511447655
64,2,0.004096,True,1630511447655
32,16,0.005184,True,1630511447655
64,32,0.004256,True,1630511447655
512,16,0.003872,True,1630511447655
512,128,0.004096,True,1630511447655
16,4,0.006976,True,1630511447655
1024,32,0.005344,True,1630511448258
