tuned_gs0,tuned_ls0,runtime,Valid,Timestamp
16,1,0.006656,True,1630508960076
1024,1,0.005984,True,1630508960076
256,16,0.004032,True,1630508960076
512,256,0.004064,True,1630508960076
512,128,0.005056,True,1630508960076
128,64,0.004032,True,1630508960076
512,8,0.004096,True,1630508960076
8,8,0.01024,True,1630508960076
64,2,0.004192,True,1630508960076
128,128,0.004064,True,1630508960076
512,512,0.004096,True,1630508960076
32,8,0.005152,True,1630508960076
512,2,0.004096,True,1630508960076
4,4,0.015936,True,1630508960076
64,4,0.004224,True,1630508960076
256,32,0.003808,True,1630508960076
256,1,0.004576,True,1630508960076
256,8,0.004,True,1630508960076
512,1,0.00448,True,1630508960076
1024,4,0.004096,True,1630508960076
1024,128,0.003904,True,1630508960654
