tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp,total,code generation,compilation,execution,error level,error message
1024,64,256,64,-1,1661,470.0,4.0,178.0,167.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
64,32,8,16,0.003872,2206,545.0,5.0,176.0,239.0,NO_ERROR,
64,512,4,16,0.006368,2781,574.0,5.0,172.0,274.0,NO_ERROR,
64,32,8,8,0.004096,3374,592.0,5.0,179.0,280.0,NO_ERROR,
32,128,4,2,0.007936,3972,598.0,3.0,176.0,299.0,NO_ERROR,
1024,128,128,8,0.004384,4637,665.0,3.0,176.0,362.0,NO_ERROR,
128,1,128,1,0.003456,5213,576.0,3.0,169.0,283.0,NO_ERROR,
64,1024,2,32,0.007296,5868,655.0,3.0,176.0,361.0,NO_ERROR,
16,512,16,1,0.008416,6429,560.0,4.0,172.0,262.0,NO_ERROR,
16,1024,16,128,-1,6969,539.0,5.0,174.0,242.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
128,256,8,64,0.003808,7557,588.0,3.0,186.0,271.0,NO_ERROR,
256,1024,16,128,-1,8189,631.0,3.0,189.0,315.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
256,1,2,1,0.004128,8973,783.0,5.0,230.0,352.0,NO_ERROR,
512,512,1,2,0.129024,9571,598.0,5.0,183.0,292.0,NO_ERROR,
32,128,4,4,0.005216,10272,701.0,3.0,178.0,400.0,NO_ERROR,
4,8,1,1,0.012512,10911,639.0,4.0,178.0,332.0,NO_ERROR,
8,512,4,512,-1,11465,553.0,4.0,180.0,243.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
256,2,64,2,0.003264,12204,739.0,4.0,181.0,433.0,NO_ERROR,
1024,4,1024,2,-1,12745,540.0,4.0,182.0,229.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
16,32,16,4,0.005728,13508,763.0,4.0,180.0,456.0,NO_ERROR,
