tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,Timestamp
256,1024,128,1024,-1.0,False,1630502045756
1024,1024,64,16,0.014336,True,1630502045756
1024,512,4,8,0.018656,True,1630502045756
8,512,1,16,0.008672,True,1630502045756
8,16,8,8,0.008192,True,1630502045756
1024,64,1,2,0.034816,True,1630502045756
128,128,128,16,-1.0,False,1630502045756
4,512,1,64,0.012288,True,1630502045756
64,64,4,2,0.005952,True,1630502045756
1024,128,64,128,-1.0,False,1630502045756
128,256,1,16,0.005984,True,1630502045756
128,16,2,8,0.003712,True,1630502045756
32,16,2,2,0.004352,True,1630502045756
128,1024,32,256,-1.0,False,1630502045756
8,8,4,1,0.00816,True,1630502045756
1,512,1,32,0.028,True,1630502045756
128,1024,16,1,0.013824,True,1630502045756
16,64,1,32,0.00576,True,1630502045756
1024,8,4,8,0.004096,True,1630502045756
1024,2,1024,2,-1.0,False,1630502045756
