tuned_gs0,tuned_ls0,runtime,timestamp,total,code generation,compilation,execution,error level,error message
256,256,0.003552,1695,571.0,7.0,181.0,257.0,NO_ERROR,
1024,2,0.004256,2287,592.0,5.0,177.0,289.0,NO_ERROR,
256,2,0.004096,2867,579.0,5.0,182.0,270.0,NO_ERROR,
512,4,0.004096,3452,585.0,4.0,180.0,272.0,NO_ERROR,
32,2,0.005408,4019,567.0,4.0,176.0,262.0,NO_ERROR,
64,32,0.004288,4613,594.0,4.0,180.0,270.0,NO_ERROR,
32,4,0.0056,5174,561.0,3.0,176.0,261.0,NO_ERROR,
128,128,0.004096,5756,582.0,4.0,179.0,272.0,NO_ERROR,
256,32,0.003904,6333,576.0,5.0,175.0,270.0,NO_ERROR,
128,64,0.004096,6912,579.0,3.0,178.0,273.0,NO_ERROR,
1024,64,0.004928,7485,573.0,5.0,180.0,264.0,NO_ERROR,
4,2,0.016384,8068,583.0,4.0,183.0,271.0,NO_ERROR,
128,4,0.004096,8664,596.0,4.0,177.0,291.0,NO_ERROR,
256,16,0.003872,9227,563.0,4.0,178.0,261.0,NO_ERROR,
512,1,0.004416,9783,555.0,5.0,176.0,253.0,NO_ERROR,
16,1,0.006528,10347,564.0,3.0,176.0,261.0,NO_ERROR,
512,64,0.004064,10923,576.0,4.0,178.0,269.0,NO_ERROR,
512,16,0.004,11478,555.0,3.0,177.0,244.0,NO_ERROR,
1,1,0.035616,12051,573.0,3.0,176.0,268.0,NO_ERROR,
256,1,0.004096,12625,574.0,4.0,176.0,276.0,NO_ERROR,
1024,32,0.003904,13204,578.0,4.0,180.0,271.0,NO_ERROR,
