tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,Timestamp
1024,64,256,64,-1.0,False,1630501963899
64,32,8,16,0.003872,True,1630501963899
64,512,4,16,0.006368,True,1630501963899
64,32,8,8,0.004096,True,1630501963899
32,128,4,2,0.007936,True,1630501963899
1024,128,128,8,0.004384,True,1630501963899
128,1,128,1,0.003456,True,1630501963899
64,1024,2,32,0.007296,True,1630501963899
16,512,16,1,0.008416,True,1630501963899
16,1024,16,128,-1.0,False,1630501963899
128,256,8,64,0.003808,True,1630501963899
256,1024,16,128,-1.0,False,1630501963899
256,1,2,1,0.004128,True,1630501963899
512,512,1,2,0.129024,True,1630501963899
32,128,4,4,0.005216,True,1630501963899
4,8,1,1,0.012512,True,1630501963899
8,512,4,512,-1.0,False,1630501963899
256,2,64,2,0.003264,True,1630501963899
1024,4,1024,2,-1.0,False,1630501963899
16,32,16,4,0.005728,True,1630501963899
