tuned_gs0,tuned_ls0,runtime,timestamp,total,code generation,compilation,execution,error level,error message
512,64,0.004096,1989,857.0,134.0,177.0,395.0,NO_ERROR,
512,128,0.004096,2580,590.0,16.0,185.0,267.0,NO_ERROR,
256,256,0.004096,3184,604.0,12.0,178.0,282.0,NO_ERROR,
4,4,0.016384,3770,586.0,8.0,178.0,276.0,NO_ERROR,
512,4,0.004096,4364,594.0,8.0,176.0,287.0,NO_ERROR,
512,8,0.004,4950,586.0,7.0,177.0,284.0,NO_ERROR,
256,4,0.004096,5545,595.0,7.0,184.0,274.0,NO_ERROR,
1024,8,0.004,6125,579.0,8.0,181.0,266.0,NO_ERROR,
1024,32,0.003808,6701,575.0,7.0,177.0,267.0,NO_ERROR,
32,8,0.005728,7303,602.0,7.0,203.0,271.0,NO_ERROR,
128,8,0.004096,7865,562.0,6.0,174.0,261.0,NO_ERROR,
64,8,0.004096,8458,592.0,7.0,179.0,284.0,NO_ERROR,
128,4,0.004128,9055,596.0,7.0,174.0,291.0,NO_ERROR,
16,16,0.007264,9641,585.0,6.0,180.0,279.0,NO_ERROR,
32,2,0.005024,10220,579.0,8.0,179.0,270.0,NO_ERROR,
512,32,0.004096,10786,566.0,5.0,181.0,257.0,NO_ERROR,
512,512,0.004096,11340,554.0,7.0,177.0,243.0,NO_ERROR,
1024,512,0.003904,11911,571.0,5.0,176.0,266.0,NO_ERROR,
128,64,0.004096,12496,585.0,5.0,179.0,276.0,NO_ERROR,
32,16,0.005504,13071,575.0,6.0,177.0,265.0,NO_ERROR,
