tuned_tp18,tuned_gs0,tuned_ls0,runtime,Valid,Timestamp
128,512,64,0.006592,True,1630511522147
32,1024,4,0.004096,True,1630511522147
2,2,2,0.018304,True,1630511522147
16,2,2,0.012288,True,1630511522147
2,16,4,0.004992,True,1630511522147
512,256,2,0.012352,True,1630511522147
1,2,2,0.028672,True,1630511522147
4,256,128,0.003904,True,1630511522147
1,512,1,0.004224,True,1630511522147
1,1024,1,0.00528,True,1630511522147
32,64,4,0.004032,True,1630511522147
1,8,4,0.01024,True,1630511522147
64,512,32,0.004992,True,1630511522147
64,4,4,0.006848,True,1630511522147
32,128,2,0.004096,True,1630511522147
32,2,1,0.01024,True,1630511522147
512,1024,64,0.012288,True,1630511522147
64,8,8,0.005792,True,1630511522147
32,1024,1,0.004864,True,1630511522147
1,16,16,0.007424,True,1630511522147
64,32,16,0.00496,True,1630511522147
256,16,16,0.00864,True,1630511522147
512,1024,32,0.012096,True,1630511522147
512,128,64,0.012096,True,1630511522147
128,32,32,0.00672,True,1630511522147
32,8,4,0.005408,True,1630511522147
8,4,1,0.005952,True,1630511522147
256,256,32,0.008032,True,1630511522147
1,64,4,0.00416,True,1630511522147
1,512,8,0.004032,True,1630511522147
2,256,32,0.004096,True,1630511522743
