tuned_gs0,tuned_ls0,runtime,Valid,Timestamp
512,512,0.004096,True,1630509227368
512,2,0.004224,True,1630509227368
256,2,0.004832,True,1630509227368
512,64,0.004096,True,1630509227368
32,8,0.005408,True,1630509227368
64,32,0.004096,True,1630509227368
1024,1,0.004992,True,1630509227368
1024,8,0.004032,True,1630509227368
8,2,0.010112,True,1630509227368
512,32,0.004096,True,1630509227368
128,4,0.004096,True,1630509227368
128,1,0.005344,True,1630509227368
32,32,0.00448,True,1630509227368
1024,256,0.004576,True,1630509227368
1024,2,0.004448,True,1630509227368
128,64,0.003936,True,1630509227368
256,16,0.003648,True,1630509227368
256,1,0.004096,True,1630509227368
32,4,0.005312,True,1630509227368
64,16,0.00512,True,1630509227368
128,8,0.003872,True,1630509227937
