tuned_gs0,tuned_ls0,runtime,timestamp,total,code generation,compilation,execution,error level,error message
16,4,0.006144,2018,822.0,132.0,177.0,355.0,NO_ERROR,
64,16,0.004352,2631,612.0,13.0,175.0,302.0,NO_ERROR,
1024,64,0.004096,3244,612.0,11.0,177.0,304.0,NO_ERROR,
512,4,0.004096,3843,599.0,9.0,178.0,284.0,NO_ERROR,
256,128,0.003968,4472,628.0,8.0,178.0,318.0,NO_ERROR,
1024,4,0.004064,5076,604.0,8.0,176.0,296.0,NO_ERROR,
128,32,0.004096,5689,613.0,10.0,180.0,294.0,NO_ERROR,
32,16,0.005504,6280,590.0,7.0,176.0,285.0,NO_ERROR,
256,2,0.004096,6883,603.0,6.0,174.0,300.0,NO_ERROR,
1024,512,0.004,7467,583.0,7.0,179.0,274.0,NO_ERROR,
256,32,0.004064,8073,605.0,6.0,184.0,297.0,NO_ERROR,
2,2,0.028608,8645,572.0,7.0,180.0,262.0,NO_ERROR,
64,32,0.004224,9225,580.0,8.0,178.0,268.0,NO_ERROR,
512,16,0.004064,9823,597.0,5.0,177.0,291.0,NO_ERROR,
1024,16,0.003488,10397,573.0,5.0,182.0,262.0,NO_ERROR,
256,1,0.004096,11008,610.0,9.0,174.0,303.0,NO_ERROR,
256,64,0.003808,11603,595.0,6.0,179.0,289.0,NO_ERROR,
1024,128,0.004096,12223,620.0,6.0,179.0,308.0,NO_ERROR,
32,8,0.004608,12844,621.0,6.0,183.0,311.0,NO_ERROR,
128,64,0.004096,13454,610.0,5.0,178.0,304.0,NO_ERROR,
