tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,Timestamp
128,512,4,256,0.006848,True,1630508227917
256,1024,256,256,-1.0,False,1630508227917
8,128,4,8,0.008192,True,1630508227917
512,256,16,2,0.007616,True,1630508227917
1024,1024,4,16,0.019584,True,1630508227917
1024,512,128,32,-1.0,False,1630508227917
64,32,2,2,0.005216,True,1630508227917
128,8,2,8,0.003424,True,1630508227917
128,1024,64,512,-1.0,False,1630508227917
1024,256,8,256,-1.0,False,1630508227917
32,32,8,32,0.004288,True,1630508227917
1024,8,256,2,0.00304,True,1630508227917
1024,2,1024,1,0.003392,True,1630508227917
1024,64,64,4,0.003904,True,1630508227917
64,1024,64,8,0.007872,True,1630508227917
64,256,4,64,0.004192,True,1630508227917
64,32,16,16,0.003872,True,1630508227917
32,256,32,2,0.005376,True,1630508227917
1024,2,8,1,0.004096,True,1630508227917
1,1024,1,2,0.051232,True,1630508227917
