tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,Timestamp
256,1024,32,1024,-1.0,False,1630502047150
1024,2,64,2,-1.0,False,1630502047150
64,64,4,1,-1.0,False,1630502047150
1024,512,512,32,-1.0,False,1630502047150
16,256,2,64,-1.0,False,1630502047150
16,64,4,64,-1.0,False,1630502047150
16,1024,4,64,-1.0,False,1630502047150
4,8,2,2,-1.0,False,1630502047150
4,256,2,256,-1.0,False,1630502047150
32,16,16,4,-1.0,False,1630502047150
4,1024,4,256,-1.0,False,1630502047150
1024,8,128,2,-1.0,False,1630502047150
128,8,4,4,-1.0,False,1630502047150
32,256,32,2,-1.0,False,1630502047150
512,32,4,4,-1.0,False,1630502047150
256,8,8,2,-1.0,False,1630502047150
32,1024,16,64,-1.0,False,1630502047150
32,64,32,64,-1.0,False,1630502047150
8,512,1,256,-1.0,False,1630502047150
128,1024,1,2,-1.0,False,1630502047150
