tuned_gs0,tuned_ls0,runtime,Valid,Timestamp
64,4,-1.0,False,1630508568122
32,2,-1.0,False,1630508568122
1024,128,-1.0,False,1630508568122
256,64,-1.0,False,1630508568122
32,32,-1.0,False,1630508568122
2,1,-1.0,False,1630508568122
4,4,-1.0,False,1630508568122
512,128,-1.0,False,1630508568122
1024,2,-1.0,False,1630508568122
64,32,-1.0,False,1630508568122
512,32,-1.0,False,1630508568122
512,8,-1.0,False,1630508568122
1024,1024,-1.0,False,1630508568122
512,512,-1.0,False,1630508568122
1,1,-1.0,False,1630508568122
1024,16,-1.0,False,1630508568122
64,64,-1.0,False,1630508568122
1024,512,-1.0,False,1630508568122
256,4,-1.0,False,1630508568122
128,128,-1.0,False,1630508568122
