tuned_ls1, tuned_s1, tuned_gs1, tuned_gs0, tuned_vec, tuned_ls0, tuned_s0runtime,timestamp,total,code generation,compilation,execution,
2, 8, 4, 1024, 16, 16, 512, CONSTRAINTS_ERROR,2379,2.0,-1,-1,-1,
16, 8, 256, 2, 8, 1, 1024, CONSTRAINTS_ERROR,2381,1.0,-1,-1,-1,
4, 8, 32, 256, 2, 256, 64, CONSTRAINTS_ERROR,2381,0.0,-1,-1,-1,
1, 4, 8, 1024, 2, 1024, 512, CONSTRAINTS_ERROR,2382,0.0,-1,-1,-1,
128, 8, 512, 32, 8, 1, 64, CONSTRAINTS_ERROR,2383,1.0,-1,-1,-1,
512, 32, 512, 64, 4, 1, 512, CONSTRAINTS_ERROR,2384,1.0,-1,-1,-1,
2, 2, 1024, 64, 2, 2, 32, CONSTRAINTS_ERROR,2384,0.0,-1,-1,-1,
4, 1, 4, 32, 2, 2, 128, CONSTRAINTS_ERROR,2385,1.0,-1,-1,-1,
8, 2, 1024, 128, 2, 4, 256, CONSTRAINTS_ERROR,2386,1.0,-1,-1,-1,
1, 128, 128, 16, 2, 8, 1024, CONSTRAINTS_ERROR,2387,1.0,-1,-1,-1,
64, 16, 256, 128, 2, 1, 1024, CONSTRAINTS_ERROR,2388,1.0,-1,-1,-1,
2, 1, 256, 1024, 16, 512, 512, CONSTRAINTS_ERROR,2389,1.0,-1,-1,-1,
256, 4, 256, 64, 2, 1, 32, CONSTRAINTS_ERROR,2390,1.0,-1,-1,-1,
1, 8, 8, 512, 4, 512, 512, CONSTRAINTS_ERROR,2391,1.0,-1,-1,-1,
4, 2, 8, 4, 2, 2, 4, CONSTRAINTS_ERROR,2392,1.0,-1,-1,-1,
4, 512, 8, 128, 2, 16, 1024, CONSTRAINTS_ERROR,2393,0.0,-1,-1,-1,
2, 1, 8, 16, 2, 2, 1024, CONSTRAINTS_ERROR,2393,0.0,-1,-1,-1,
1, 8, 2, 512, 2, 4, 512, CONSTRAINTS_ERROR,2394,0.0,-1,-1,-1,
1, 1, 4, 1024, 2, 8, 2, CONSTRAINTS_ERROR,2395,0.0,-1,-1,-1,
2, 8, 512, 32, 8, 8, 512, CONSTRAINTS_ERROR,2396,0.0,-1,-1,-1,
2, 1, 256, 1024, 2, 1, 2, CONSTRAINTS_ERROR,2397,1.0,-1,-1,-1,
2, 16, 32, 256, 16, 16, 256, CONSTRAINTS_ERROR,2397,0.0,-1,-1,-1,
2, 4, 16, 64, 4, 64, 512, CONSTRAINTS_ERROR,2398,0.0,-1,-1,-1,
4, 1, 8, 128, 16, 32, 512, CONSTRAINTS_ERROR,2399,1.0,-1,-1,-1,
2, 4, 64, 128, 16, 16, 1024, CONSTRAINTS_ERROR,2400,1.0,-1,-1,-1,
4, 2, 1024, 16, 2, 8, 64, CONSTRAINTS_ERROR,2400,0.0,-1,-1,-1,
1, 8, 64, 1024, 4, 512, 128, CONSTRAINTS_ERROR,2401,0.0,-1,-1,-1,
8, 64, 8, 1024, 8, 8, 512, CONSTRAINTS_ERROR,2402,0.0,-1,-1,-1,
