tuned_gs0,tuned_ls0,runtime,Valid,Timestamp
1024,1024,0.005216,True,1630508801193
1024,2,0.005056,True,1630508801193
512,4,0.006144,True,1630508801193
8,1,0.01024,True,1630508801193
128,1,0.004096,True,1630508801193
128,2,0.004,True,1630508801193
16,16,0.006464,True,1630508801193
32,32,0.005984,True,1630508801193
512,256,0.004,True,1630508801193
1024,1,0.004992,True,1630508801193
128,8,0.004096,True,1630508801193
16,1,0.006752,True,1630508801193
256,2,0.004096,True,1630508801193
512,512,0.004096,True,1630508801193
256,4,0.004096,True,1630508801193
2,1,0.028672,True,1630508801193
512,64,0.004096,True,1630508801193
512,2,0.004096,True,1630508801193
512,128,0.004064,True,1630508801193
16,8,0.006976,True,1630508801193
