tuned_tp18,tuned_gs0,tuned_ls0,runtime,timestamp,total,code generation,compilation,execution,error level,error message
1,512,512,0.004096,1845,612.0,30.0,180.0,280.0,NO_ERROR,
1,1024,512,0.004096,2424,579.0,7.0,181.0,274.0,NO_ERROR,
128,256,16,0.007264,3026,602.0,7.0,178.0,296.0,NO_ERROR,
2,512,8,0.004096,3645,619.0,6.0,196.0,295.0,NO_ERROR,
32,128,1,0.004064,4274,629.0,5.0,188.0,310.0,NO_ERROR,
64,128,2,0.004096,4876,602.0,6.0,177.0,291.0,NO_ERROR,
64,1024,512,0.004864,5487,611.0,5.0,183.0,298.0,NO_ERROR,
32,1,1,0.016384,6103,616.0,5.0,181.0,305.0,NO_ERROR,
4,4,1,0.008192,6711,608.0,5.0,184.0,297.0,NO_ERROR,
2,512,512,0.004032,7306,595.0,4.0,185.0,283.0,NO_ERROR,
2,32,2,0.00432,7899,593.0,5.0,172.0,289.0,NO_ERROR,
16,1024,512,0.004736,8480,580.0,5.0,172.0,285.0,NO_ERROR,
256,16,4,0.009312,9070,590.0,5.0,172.0,294.0,NO_ERROR,
8,32,16,0.004096,9694,624.0,4.0,179.0,317.0,NO_ERROR,
64,512,32,0.00512,10280,586.0,4.0,180.0,279.0,NO_ERROR,
64,256,64,0.00544,10889,609.0,5.0,178.0,301.0,NO_ERROR,
16,512,1,0.004096,11475,586.0,4.0,180.0,279.0,NO_ERROR,
4,8,4,0.006048,12069,593.0,4.0,179.0,292.0,NO_ERROR,
32,512,64,0.00576,12672,603.0,3.0,181.0,297.0,NO_ERROR,
256,256,1,0.008192,13291,619.0,4.0,182.0,310.0,NO_ERROR,
2,128,4,0.00384,13896,605.0,3.0,175.0,300.0,NO_ERROR,
512,32,4,0.012288,14501,605.0,4.0,186.0,290.0,NO_ERROR,
8,8,2,0.005632,15114,613.0,3.0,179.0,310.0,NO_ERROR,
8,128,64,0.004,15731,617.0,3.0,178.0,304.0,NO_ERROR,
32,32,16,0.004288,16362,631.0,3.0,186.0,303.0,NO_ERROR,
512,128,1,0.012288,16969,607.0,3.0,180.0,301.0,NO_ERROR,
16,128,1,0.004032,17583,614.0,5.0,185.0,300.0,NO_ERROR,
128,16,16,0.006304,18188,604.0,4.0,181.0,295.0,NO_ERROR,
128,1024,64,0.006752,18804,616.0,4.0,181.0,304.0,NO_ERROR,
8,512,16,0.004096,19419,615.0,4.0,183.0,309.0,NO_ERROR,
128,1024,32,0.00544,20032,612.0,3.0,180.0,308.0,NO_ERROR,
