tuned_gs0,tuned_ls0,runtime,timestamp,total,code generation,compilation,execution,error level,error message
16,1,0.006656,1918,757.0,125.0,177.0,306.0,NO_ERROR,
1024,1,0.005984,2498,580.0,14.0,175.0,266.0,NO_ERROR,
256,16,0.004032,3079,581.0,11.0,173.0,271.0,NO_ERROR,
512,256,0.004064,3681,601.0,10.0,176.0,283.0,NO_ERROR,
512,128,0.005056,4256,575.0,9.0,178.0,262.0,NO_ERROR,
128,64,0.004032,4835,579.0,7.0,178.0,266.0,NO_ERROR,
512,8,0.004096,5414,579.0,7.0,176.0,273.0,NO_ERROR,
8,8,0.01024,5982,568.0,9.0,176.0,261.0,NO_ERROR,
64,2,0.004192,6567,585.0,8.0,179.0,273.0,NO_ERROR,
128,128,0.004064,7153,585.0,7.0,178.0,277.0,NO_ERROR,
512,512,0.004096,7738,585.0,6.0,180.0,274.0,NO_ERROR,
32,8,0.005152,8326,588.0,6.0,181.0,278.0,NO_ERROR,
512,2,0.004096,8886,560.0,6.0,182.0,248.0,NO_ERROR,
4,4,0.015936,9451,565.0,5.0,176.0,261.0,NO_ERROR,
64,4,0.004224,10024,573.0,6.0,182.0,262.0,NO_ERROR,
256,32,0.003808,10611,587.0,5.0,178.0,279.0,NO_ERROR,
256,1,0.004576,11193,581.0,6.0,175.0,272.0,NO_ERROR,
256,8,0.004,11777,584.0,6.0,177.0,277.0,NO_ERROR,
512,1,0.00448,12356,579.0,5.0,180.0,267.0,NO_ERROR,
1024,4,0.004096,12955,599.0,5.0,179.0,290.0,NO_ERROR,
1024,128,0.003904,13533,577.0,4.0,178.0,272.0,NO_ERROR,
