tuned_gs0,tuned_ls0,runtime,timestamp,total,code generation,compilation,execution,error level,error message
16,2,0.006656,1927,765.0,132.0,179.0,309.0,NO_ERROR,
32,2,0.005184,2506,578.0,14.0,180.0,265.0,NO_ERROR,
512,2,0.00432,3071,565.0,11.0,176.0,252.0,NO_ERROR,
128,32,0.003936,3662,591.0,10.0,185.0,269.0,NO_ERROR,
512,512,0.004096,4214,551.0,9.0,177.0,248.0,NO_ERROR,
32,4,0.005312,4802,587.0,7.0,179.0,278.0,NO_ERROR,
32,32,0.00528,5373,571.0,9.0,176.0,265.0,NO_ERROR,
128,64,0.004096,5946,572.0,6.0,175.0,268.0,NO_ERROR,
1024,32,0.003712,6476,530.0,6.0,180.0,224.0,NO_ERROR,
1024,4,0.004096,7050,574.0,6.0,182.0,264.0,NO_ERROR,
256,256,0.004096,7625,575.0,7.0,177.0,271.0,NO_ERROR,
2,1,0.02848,8209,583.0,6.0,176.0,278.0,NO_ERROR,
1,1,0.036384,8784,574.0,5.0,181.0,266.0,NO_ERROR,
4,1,0.016384,9360,576.0,6.0,181.0,267.0,NO_ERROR,
8,2,0.01008,9946,586.0,6.0,180.0,276.0,NO_ERROR,
256,64,0.003808,10543,597.0,6.0,180.0,289.0,NO_ERROR,
128,1,0.004192,11122,579.0,5.0,176.0,279.0,NO_ERROR,
512,128,0.004096,11689,566.0,6.0,175.0,262.0,NO_ERROR,
256,2,0.004096,12292,603.0,5.0,183.0,291.0,NO_ERROR,
32,1,0.005504,12869,577.0,5.0,197.0,253.0,NO_ERROR,
16,16,0.007232,13449,579.0,5.0,177.0,270.0,NO_ERROR,
