tuned_tp18,tuned_gs0,tuned_ls0,runtime,timestamp,total,code generation,compilation,execution,error level,error message
8,128,128,0.004096,1825,633.0,6.0,185.0,318.0,NO_ERROR,
64,2,2,0.009216,2449,624.0,6.0,186.0,308.0,NO_ERROR,
8,16,4,0.004096,3076,627.0,4.0,183.0,315.0,NO_ERROR,
4,16,4,0.004544,3702,626.0,5.0,176.0,314.0,NO_ERROR,
4,4,2,0.008192,4299,597.0,4.0,186.0,282.0,NO_ERROR,
64,8,1,0.00512,4909,610.0,4.0,177.0,305.0,NO_ERROR,
2,1024,32,0.004064,5522,613.0,3.0,185.0,305.0,NO_ERROR,
16,1024,2,0.00432,6105,583.0,4.0,178.0,276.0,NO_ERROR,
1,128,1,0.003904,6694,589.0,4.0,185.0,279.0,NO_ERROR,
512,128,16,0.012384,7333,638.0,4.0,208.0,297.0,NO_ERROR,
512,1024,8,0.012288,7944,611.0,3.0,180.0,307.0,NO_ERROR,
4,64,16,0.004096,8571,626.0,5.0,182.0,315.0,NO_ERROR,
16,8,2,0.006304,9190,619.0,4.0,181.0,306.0,NO_ERROR,
256,8,8,0.009536,9803,612.0,5.0,182.0,299.0,NO_ERROR,
2,4,2,0.010752,10433,630.0,4.0,186.0,313.0,NO_ERROR,
16,1024,256,0.004768,11050,617.0,4.0,182.0,309.0,NO_ERROR,
128,64,4,0.007616,11667,617.0,4.0,185.0,302.0,NO_ERROR,
4,256,8,0.004352,12373,706.0,4.0,188.0,382.0,NO_ERROR,
128,64,2,0.004416,13191,817.0,7.0,284.0,282.0,NO_ERROR,
32,128,2,0.004096,13805,614.0,4.0,182.0,305.0,NO_ERROR,
16,128,64,0.00512,14392,587.0,6.0,181.0,278.0,NO_ERROR,
32,64,64,0.006144,15020,628.0,8.0,186.0,307.0,NO_ERROR,
256,256,32,0.009344,15623,603.0,3.0,179.0,300.0,NO_ERROR,
512,1024,256,0.012288,16252,629.0,4.0,182.0,320.0,NO_ERROR,
16,512,64,0.004768,16864,612.0,4.0,182.0,300.0,NO_ERROR,
2,32,2,0.005152,17442,578.0,5.0,177.0,275.0,NO_ERROR,
32,64,16,0.00432,18045,603.0,4.0,182.0,295.0,NO_ERROR,
8,1024,256,0.003936,18678,633.0,4.0,182.0,326.0,NO_ERROR,
4,32,32,0.004096,19289,611.0,6.0,180.0,304.0,NO_ERROR,
512,16,16,0.01232,19899,610.0,3.0,184.0,290.0,NO_ERROR,
256,128,2,0.008096,20523,623.0,4.0,187.0,309.0,NO_ERROR,
