tuned_gs0,tuned_ls0,runtime,timestamp,total,code generation,compilation,execution,error level,error message
2,1,0.02864,1783,614.0,6.0,177.0,302.0,NO_ERROR,
1024,512,0.004096,2373,589.0,5.0,181.0,278.0,NO_ERROR,
8,4,0.010144,2959,586.0,4.0,177.0,282.0,NO_ERROR,
128,16,0.004096,3562,603.0,5.0,187.0,286.0,NO_ERROR,
1024,1,0.005184,4154,591.0,5.0,181.0,274.0,NO_ERROR,
512,32,0.004096,4761,607.0,4.0,182.0,286.0,NO_ERROR,
512,16,0.004096,5349,588.0,4.0,184.0,279.0,NO_ERROR,
512,4,0.005152,5925,576.0,4.0,178.0,271.0,NO_ERROR,
4,1,0.016384,6504,579.0,5.0,177.0,266.0,NO_ERROR,
512,64,0.004096,7092,587.0,3.0,179.0,280.0,NO_ERROR,
64,2,0.004032,7677,585.0,4.0,180.0,276.0,NO_ERROR,
128,2,0.004128,8267,589.0,4.0,185.0,275.0,NO_ERROR,
1024,16,0.003936,8851,584.0,3.0,181.0,278.0,NO_ERROR,
1024,2,0.004128,9445,594.0,4.0,176.0,292.0,NO_ERROR,
32,1,0.005056,10045,599.0,3.0,183.0,283.0,NO_ERROR,
256,32,0.004,10636,591.0,4.0,181.0,278.0,NO_ERROR,
512,2,0.003968,11220,584.0,2.0,186.0,274.0,NO_ERROR,
32,16,0.0056,11797,577.0,4.0,181.0,269.0,NO_ERROR,
256,1,0.004096,12383,585.0,3.0,179.0,281.0,NO_ERROR,
128,4,0.003648,12965,582.0,3.0,181.0,270.0,NO_ERROR,
256,16,0.003712,13549,583.0,3.0,181.0,275.0,NO_ERROR,
