tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp,total,code generation,compilation,execution,error level,error message
128,512,4,256,0.006848,2036,839.0,141.0,190.0,335.0,NO_ERROR,
256,1024,256,256,-1,2597,560.0,14.0,179.0,246.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
8,128,4,8,0.008192,3361,763.0,11.0,183.0,444.0,NO_ERROR,
512,256,16,2,0.007616,3945,583.0,10.0,176.0,268.0,NO_ERROR,
1024,1024,4,16,0.019584,4662,716.0,9.0,180.0,411.0,NO_ERROR,
1024,512,128,32,-1,5141,479.0,8.0,176.0,172.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
64,32,2,2,0.005216,5801,660.0,7.0,180.0,347.0,NO_ERROR,
128,8,2,8,0.003424,6355,554.0,7.0,178.0,248.0,NO_ERROR,
128,1024,64,512,-1,6909,554.0,6.0,176.0,243.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
1024,256,8,256,-1,7472,563.0,6.0,176.0,251.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
32,32,8,32,0.004288,8194,722.0,6.0,174.0,417.0,NO_ERROR,
1024,8,256,2,0.00304,8784,590.0,7.0,178.0,274.0,NO_ERROR,
1024,2,1024,1,0.003392,9529,745.0,6.0,174.0,444.0,NO_ERROR,
1024,64,64,4,0.003904,10102,573.0,6.0,175.0,270.0,NO_ERROR,
64,1024,64,8,0.007872,10789,687.0,8.0,173.0,375.0,NO_ERROR,
64,256,4,64,0.004192,11439,650.0,6.0,182.0,337.0,NO_ERROR,
64,32,16,16,0.003872,12010,571.0,6.0,178.0,269.0,NO_ERROR,
32,256,32,2,0.005376,12729,719.0,6.0,181.0,411.0,NO_ERROR,
1024,2,8,1,0.004096,13386,657.0,5.0,173.0,355.0,NO_ERROR,
1,1024,1,2,0.051232,13962,576.0,5.0,173.0,273.0,NO_ERROR,
