tuned_gs0,tuned_ls0,runtime,timestamp,total,code generation,compilation,execution,error level,error message
64,4,-1,1162,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
32,2,-1,1163,1.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,128,-1,1163,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
256,64,-1,1163,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
32,32,-1,1163,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
2,1,-1,1164,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
4,4,-1,1164,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
512,128,-1,1164,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,2,-1,1164,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
64,32,-1,1164,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
512,32,-1,1164,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
512,8,-1,1164,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,1024,-1,1165,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
512,512,-1,1165,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1,1,-1,1165,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,16,-1,1165,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
64,64,-1,1165,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,512,-1,1165,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
256,4,-1,1165,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
128,128,-1,1166,1.0,-1,-1,-1,CONSTRAINTS_ERROR,
