tuned_ls1, tuned_s1, tuned_gs1, tuned_gs0, tuned_vec, tuned_ls0, tuned_s0runtime,timestamp,total,code generation,compilation,execution,
8, 64, 16, 16, 1, 8, 512, CONSTRAINTS_ERROR,2379,2.0,-1,-1,-1,
128, 32, 128, 512, 2, 2, 64, CONSTRAINTS_ERROR,2380,1.0,-1,-1,-1,
2, 16, 128, 256, 32, 1, 512, CONSTRAINTS_ERROR,2380,0.0,-1,-1,-1,
8, 1, 32, 256, 128, 1, 256, CONSTRAINTS_ERROR,2381,0.0,-1,-1,-1,
32, 2, 256, 1024, 64, 2, 1024, CONSTRAINTS_ERROR,2382,1.0,-1,-1,-1,
256, 8, 512, 16, 16, 1, 512, CONSTRAINTS_ERROR,2383,1.0,-1,-1,-1,
32, 16, 256, 2, 8, 1, 256, CONSTRAINTS_ERROR,2384,1.0,-1,-1,-1,
16, 4, 16, 16, 4, 8, 256, CONSTRAINTS_ERROR,2384,0.0,-1,-1,-1,
2, 64, 512, 128, 16, 16, 1024, CONSTRAINTS_ERROR,2386,1.0,-1,-1,-1,
2, 32, 128, 4, 2, 2, 64, CONSTRAINTS_ERROR,2387,1.0,-1,-1,-1,
64, 32, 128, 16, 8, 2, 512, CONSTRAINTS_ERROR,2388,0.0,-1,-1,-1,
2, 32, 16, 64, 4, 2, 512, CONSTRAINTS_ERROR,2388,0.0,-1,-1,-1,
2, 8, 1024, 1024, 16, 2, 256, CONSTRAINTS_ERROR,2389,0.0,-1,-1,-1,
1, 64, 256, 2, 1, 2, 256, CONSTRAINTS_ERROR,2390,0.0,-1,-1,-1,
4, 8, 4, 512, 32, 4, 256, CONSTRAINTS_ERROR,2391,1.0,-1,-1,-1,
4, 2, 8, 32, 2, 8, 8, CONSTRAINTS_ERROR,2391,0.0,-1,-1,-1,
16, 16, 32, 512, 1, 4, 256, CONSTRAINTS_ERROR,2392,0.0,-1,-1,-1,
4, 16, 256, 1024, 4, 1, 256, CONSTRAINTS_ERROR,2393,1.0,-1,-1,-1,
2, 1, 8, 256, 8, 256, 64, CONSTRAINTS_ERROR,2393,0.0,-1,-1,-1,
512, 32, 512, 4, 1, 1, 64, CONSTRAINTS_ERROR,2394,0.0,-1,-1,-1,
4, 16, 512, 256, 2, 64, 512, CONSTRAINTS_ERROR,2395,0.0,-1,-1,-1,
1, 2, 8, 128, 2, 2, 16, CONSTRAINTS_ERROR,2396,0.0,-1,-1,-1,
16, 256, 128, 128, 1, 2, 1024, CONSTRAINTS_ERROR,2396,0.0,-1,-1,-1,
8, 4, 1024, 1024, 128, 64, 512, CONSTRAINTS_ERROR,2397,1.0,-1,-1,-1,
2, 64, 1024, 512, 4, 16, 256, CONSTRAINTS_ERROR,2397,0.0,-1,-1,-1,
64, 2, 256, 512, 32, 2, 512, CONSTRAINTS_ERROR,2398,0.0,-1,-1,-1,
2, 4, 16, 128, 2, 128, 32, CONSTRAINTS_ERROR,2399,1.0,-1,-1,-1,
1, 256, 16, 2, 2, 1, 512, CONSTRAINTS_ERROR,2399,0.0,-1,-1,-1,
