tuned_gs0,tuned_ls0,runtime,timestamp,total,code generation,compilation,execution,error level,error message
512,64,-1,1115,1.0,-1,-1,-1,CONSTRAINTS_ERROR,
512,32,-1,1116,1.0,-1,-1,-1,CONSTRAINTS_ERROR,
128,64,-1,1116,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
32,32,-1,1116,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,512,-1,1116,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
8,8,-1,1116,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
128,32,-1,1116,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
16,16,-1,1116,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
16,4,-1,1116,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
256,64,-1,1117,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
16,8,-1,1117,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
512,16,-1,1117,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
16,1,-1,1117,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,128,-1,1117,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
256,8,-1,1117,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,64,-1,1117,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
128,16,-1,1118,1.0,-1,-1,-1,CONSTRAINTS_ERROR,
8,1,-1,1118,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
512,512,-1,1118,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
512,1,-1,1118,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
