tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp,total,code generation,compilation,execution,error level,error message
256,256,16,64,-1,1134,1.0,-1,-1,-1,CONSTRAINTS_ERROR,
512,1,16,1,-1,1135,1.0,-1,-1,-1,CONSTRAINTS_ERROR,
16,256,1,2,-1,1135,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
64,64,16,32,-1,1135,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
32,128,4,16,-1,1135,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
32,1024,16,8,-1,1136,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
256,128,1,1,-1,1136,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
16,256,2,64,-1,1136,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
32,16,4,2,-1,1136,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
512,256,256,16,-1,1136,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
32,2,32,2,-1,1136,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,1,128,1,-1,1136,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
512,512,128,2,-1,1137,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
32,2,1,1,-1,1137,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
128,2,32,2,-1,1137,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,256,8,4,-1,1137,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,128,64,4,-1,1138,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
1024,128,32,4,-1,1138,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
8,16,1,1,-1,1138,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
256,512,32,128,-1,1138,0.0,-1,-1,-1,CONSTRAINTS_ERROR,
