tuned_gs0,tuned_ls0,runtime,Valid,Timestamp
512,64,0.004096,True,1630508787430
512,128,0.004096,True,1630508787430
256,256,0.004096,True,1630508787430
4,4,0.016384,True,1630508787430
512,4,0.004096,True,1630508787430
512,8,0.004,True,1630508787430
256,4,0.004096,True,1630508787430
1024,8,0.004,True,1630508787430
1024,32,0.003808,True,1630508787430
32,8,0.005728,True,1630508787430
128,8,0.004096,True,1630508787430
64,8,0.004096,True,1630508787430
128,4,0.004128,True,1630508787430
16,16,0.007264,True,1630508787430
32,2,0.005024,True,1630508787430
512,32,0.004096,True,1630508787430
512,512,0.004096,True,1630508787430
1024,512,0.003904,True,1630508787430
128,64,0.004096,True,1630508787430
32,16,0.005504,True,1630508787430
