tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,Timestamp
256,1024,256,64,-1.0,False,1630502061503
512,1024,512,16,-1.0,False,1630502061503
2,512,1,128,0.022688,True,1630502061503
512,512,1,2,0.128736,True,1630502061503
256,64,128,2,0.003584,True,1630502061503
1024,128,256,64,-1.0,False,1630502061503
512,64,64,8,0.003584,True,1630502061503
1024,64,8,4,0.005472,True,1630502061503
1024,512,256,512,-1.0,False,1630502061503
1024,256,32,16,0.005856,True,1630502061503
256,64,256,64,-1.0,False,1630502061503
128,512,64,64,-1.0,False,1630502061503
32,1024,1,2,0.047168,True,1630502061503
64,4,2,4,0.004128,True,1630502061503
256,64,8,4,0.003488,True,1630502061503
512,2,32,2,0.003296,True,1630502061503
64,128,64,64,-1.0,False,1630502061503
1024,16,512,2,0.00368,True,1630502061503
64,64,2,16,0.003776,True,1630502061503
16,1024,4,8,0.010048,True,1630502061503
