tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,Timestamp
256,256,16,64,-1.0,False,1630508229102
512,1,16,1,-1.0,False,1630508229102
16,256,1,2,-1.0,False,1630508229102
64,64,16,32,-1.0,False,1630508229102
32,128,4,16,-1.0,False,1630508229102
32,1024,16,8,-1.0,False,1630508229102
256,128,1,1,-1.0,False,1630508229102
16,256,2,64,-1.0,False,1630508229102
32,16,4,2,-1.0,False,1630508229102
512,256,256,16,-1.0,False,1630508229102
32,2,32,2,-1.0,False,1630508229102
1024,1,128,1,-1.0,False,1630508229102
512,512,128,2,-1.0,False,1630508229102
32,2,1,1,-1.0,False,1630508229102
128,2,32,2,-1.0,False,1630508229102
1024,256,8,4,-1.0,False,1630508229102
1024,128,64,4,-1.0,False,1630508229102
1024,128,32,4,-1.0,False,1630508229102
8,16,1,1,-1.0,False,1630508229102
256,512,32,128,-1.0,False,1630508229102
