tuned_tp18,tuned_gs0,tuned_ls0,runtime,Valid,Timestamp
1,256,128,0.004,True,1630509556234
512,256,8,0.012288,True,1630509556234
128,64,64,0.007168,True,1630509556234
2,512,4,0.00544,True,1630509556234
1,32,1,0.004544,True,1630509556234
32,512,1,0.004096,True,1630509556234
64,1,1,0.014336,True,1630509556234
32,512,64,0.006048,True,1630509556234
64,32,32,0.005376,True,1630509556234
8,256,64,0.004096,True,1630509556234
64,256,8,0.00416,True,1630509556234
256,1024,128,0.009472,True,1630509556234
4,1024,64,0.004064,True,1630509556234
1,512,1,0.004736,True,1630509556234
4,512,512,0.003744,True,1630509556234
128,128,1,0.00592,True,1630509556234
128,1024,256,0.006656,True,1630509556234
2,8,1,0.007648,True,1630509556234
16,256,1,0.004608,True,1630509556234
2,256,4,0.003776,True,1630509556234
128,128,64,0.006592,True,1630509556234
4,512,1,0.004096,True,1630509556234
2,1024,1,0.004992,True,1630509556234
32,128,8,0.004096,True,1630509556234
4,256,2,0.004096,True,1630509556234
8,64,32,0.004256,True,1630509556234
256,512,256,0.009472,True,1630509556234
128,512,16,0.009536,True,1630509556234
8,128,32,0.004032,True,1630509556234
512,128,4,0.012384,True,1630509556234
64,4,1,0.004736,True,1630509556844
