tuned_gs0,tuned_ls0,runtime,Valid,Timestamp
64,4,0.004128,True,1630509240753
1024,1024,0.003616,True,1630509240753
8,2,0.009888,True,1630509240753
512,128,0.004064,True,1630509240753
8,8,0.01024,True,1630509240753
8,4,0.007968,True,1630509240753
4,2,0.012352,True,1630509240753
256,64,0.004,True,1630509240753
512,2,0.003904,True,1630509240753
1024,32,0.003392,True,1630509240753
16,8,0.005568,True,1630509240753
16,4,0.005856,True,1630509240753
256,32,0.002848,True,1630509240753
256,8,0.003776,True,1630509240753
16,1,0.006624,True,1630509240753
128,1,0.004096,True,1630509240753
64,1,0.004416,True,1630509240753
1024,128,0.003712,True,1630509240753
32,4,0.004896,True,1630509240753
128,128,0.00416,True,1630509240753
64,32,0.004256,True,1630509241322
