tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp,total,code generation,compilation,execution,error level,error message
1024,256,64,256,-1,1579,477.0,5.0,178.0,165.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
1024,32,128,16,-1,2093,514.0,5.0,181.0,205.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
512,256,128,4,0.005664,2810,717.0,4.0,178.0,411.0,NO_ERROR,
4,1024,2,64,0.012864,3412,602.0,4.0,173.0,301.0,NO_ERROR,
1024,512,4,8,0.01872,3974,562.0,3.0,178.0,256.0,NO_ERROR,
256,32,8,2,0.003776,4681,706.0,5.0,177.0,401.0,NO_ERROR,
128,1024,128,8,0.007136,5340,659.0,4.0,174.0,355.0,NO_ERROR,
4,256,4,256,0.021504,5937,597.0,5.0,178.0,291.0,NO_ERROR,
256,128,2,2,0.011136,6519,582.0,4.0,171.0,286.0,NO_ERROR,
1024,1,512,1,0.003136,7106,587.0,4.0,187.0,275.0,NO_ERROR,
128,128,4,8,0.004096,7712,606.0,4.0,177.0,297.0,NO_ERROR,
256,256,1,16,0.007168,8409,696.0,3.0,177.0,394.0,NO_ERROR,
16,512,4,16,0.006144,9048,639.0,3.0,180.0,335.0,NO_ERROR,
256,64,8,1,0.005472,9718,670.0,3.0,199.0,344.0,NO_ERROR,
64,128,64,2,0.00432,10403,685.0,3.0,177.0,382.0,NO_ERROR,
128,1024,1,16,0.012288,11012,609.0,4.0,179.0,303.0,NO_ERROR,
128,64,128,64,-1,11472,460.0,2.0,179.0,157.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
128,2,8,2,0.003776,12130,658.0,5.0,176.0,355.0,NO_ERROR,
32,2,16,1,0.004096,12749,618.0,4.0,180.0,314.0,NO_ERROR,
1024,128,8,64,0.00432,13311,562.0,3.0,178.0,256.0,NO_ERROR,
