tuned_gs0,tuned_ls0,runtime,Valid,Timestamp
8,4,0.01024,True,1630508593838
16,8,0.006848,True,1630508593838
256,256,0.004096,True,1630508593838
2,1,0.028672,True,1630508593838
1024,8,0.004064,True,1630508593838
16,2,0.006496,True,1630508593838
1024,2,0.004352,True,1630508593838
1024,1,0.005376,True,1630508593838
512,16,0.004096,True,1630508593838
32,8,0.006496,True,1630508593838
512,32,0.004064,True,1630508593838
256,4,0.004064,True,1630508593838
128,8,0.004096,True,1630508593838
256,2,0.004096,True,1630508593838
2,2,0.02768,True,1630508593838
128,32,0.003712,True,1630508593838
32,16,0.00496,True,1630508593838
512,128,0.004096,True,1630508593838
64,16,0.004224,True,1630508593838
128,1,0.003904,True,1630508593838
