tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,Timestamp
1024,256,64,256,-1.0,False,1630508242422
1024,32,128,16,-1.0,False,1630508242422
512,256,128,4,0.005664,True,1630508242422
4,1024,2,64,0.012864,True,1630508242422
1024,512,4,8,0.01872,True,1630508242422
256,32,8,2,0.003776,True,1630508242422
128,1024,128,8,0.007136,True,1630508242422
4,256,4,256,0.021504,True,1630508242422
256,128,2,2,0.011136,True,1630508242422
1024,1,512,1,0.003136,True,1630508242422
128,128,4,8,0.004096,True,1630508242422
256,256,1,16,0.007168,True,1630508242422
16,512,4,16,0.006144,True,1630508242422
256,64,8,1,0.005472,True,1630508242422
64,128,64,2,0.00432,True,1630508242422
128,1024,1,16,0.012288,True,1630508242422
128,64,128,64,-1.0,False,1630508242422
128,2,8,2,0.003776,True,1630508242422
32,2,16,1,0.004096,True,1630508242422
1024,128,8,64,0.00432,True,1630508242422
