sketch iteration nodes classes rules
0 0 40 40 0
0 1 100 94 6
0 2 258 233 19
0 3 744 649 70
0 4 2193 1824 297
0 5 6779 5343 1281
0 6 21207 15790 5616
0 7 67969 47734 23230
0 8 211439 139297 96721
0 9 632705 390772 375742
0 10 1705170 987480 1323174
0 11 4185965 2279698 3985149
