iteration,runner,timestamp,high-level hash,low-level hash,rewrite,error-level,runtime,min,max,std,executions 
22,executor,1668618334803,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2710513aabf650a49cedceb03f40d7cbde479cc2b9cf6da6a6558194811f39a2,"[(id, 0)]",ExecutionSuccess,6.841,6.841,6.928,0.02835771499962569,5
23,executor,1668618337248,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,bdfe2cd870c0385120d6913d4ab001968cd63de1e0a1cb38af0311c2a309c284,"[(id, 0)]",ExecutionSuccess,6.793,6.793,7.051,0.09731310292041878,5
24,executor,1668618339730,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0e7b571335f8880e3e65b6ac89f9a13b5eb21449166c15f3356c00be7a2dfa47,"[(id, 0)]",ExecutionSuccess,6.826,6.826,6.952,0.047115178021525136,5
25,executor,1668618341521,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,39063be019e78d48760d2c700a066925fb42a94f106854854079c5fcf9fc54c7,"[(id, 0)]",ExecutionSuccess,9.837,9.837,17.162,2.9133693620960592,5
26,executor,1668618344900,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,450a6564ed35f0d0bf7dc3f23822c7a85617f2c89a6d38106cae2ec44f7efcfd,"[(id, 0)]",ExecutionSuccess,6.842,6.842,13.038,2.357561367175837,5
27,executor,1668618345267,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb13b1c0fd9eacb64d1a214b16475e1a6155b71e20c9e5ad1accfc06ed04a37f,"[(id, 0)]",ExecutionSuccess,6.857,6.857,12.167,2.093483164489268,5
28,executor,1668618345618,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,450a6564ed35f0d0bf7dc3f23822c7a85617f2c89a6d38106cae2ec44f7efcfd,"[(id, 0)]",ExecutionSuccess,6.835,6.835,6.962,0.04187791780879265,5
29,executor,1668618345993,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4e2698b38dfb949b7e9799bfe69d5f78785f198b196c27a3e3b2141630e30bca,"[(id, 0)]",ExecutionSuccess,6.839,6.839,13.621,2.583792437484095,5
30,executor,1668618346353,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,ddce8caf03554b1bf6fda51853b793f16e45c241dbfd2adfceb97c26bcb90389,"[(id, 0)]",ExecutionSuccess,6.824,6.824,6.94,0.04300697617829015,5
31,executor,1668618347600,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4e2698b38dfb949b7e9799bfe69d5f78785f198b196c27a3e3b2141630e30bca,"[(id, 0)]",ExecutionSuccess,6.803,6.803,6.909,0.04428543778715518,5
32,executor,1668618348851,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4e2698b38dfb949b7e9799bfe69d5f78785f198b196c27a3e3b2141630e30bca,"[(id, 0)]",ExecutionSuccess,6.872,6.872,7.268,0.13663733018468996,5
33,executor,1668618350166,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,b015ab1812415f6cbb5f48538a214874b8705740b24d82211bde474773c3bff3,"[(id, 0)]",ExecutionSuccess,6.797,6.797,7.568,0.28617868543970904,5
34,executor,1668618351499,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4e2698b38dfb949b7e9799bfe69d5f78785f198b196c27a3e3b2141630e30bca,"[(id, 0)]",ExecutionSuccess,6.83,6.83,7.422,0.22768803218439035,5
35,executor,1668618353850,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a0e748b0c26f159a45af31312b823984a0cd3faeb6c02bba5060c01a3398f8ea,"[(id, 0)]",ExecutionSuccess,6.921,6.921,7.087,0.0611208638682405,5
36,executor,1668618356061,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,450a6564ed35f0d0bf7dc3f23822c7a85617f2c89a6d38106cae2ec44f7efcfd,"[(id, 0)]",ExecutionSuccess,6.835,6.835,7.027,0.07309610112721482,5
37,executor,1668618358284,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4e2698b38dfb949b7e9799bfe69d5f78785f198b196c27a3e3b2141630e30bca,"[(id, 0)]",ExecutionSuccess,6.791,6.791,6.882,0.032455508007116385,5
38,executor,1668618360676,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,91ab2bf2cfce6c126dfc66333d2c3546f03db13edafbdf4bd6c15e003f8567d9,"[(id, 0)]",ExecutionSuccess,6.806,6.806,6.91,0.03351656306962279,5
39,executor,1668618363081,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb13b1c0fd9eacb64d1a214b16475e1a6155b71e20c9e5ad1accfc06ed04a37f,"[(id, 0)]",ExecutionSuccess,6.817,6.817,6.9,0.032021242949017634,5
40,executor,1668618365503,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,b015ab1812415f6cbb5f48538a214874b8705740b24d82211bde474773c3bff3,"[(id, 0)]",ExecutionSuccess,6.777,6.777,6.958,0.06279936305409481,5
41,executor,1668618367903,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,ddce8caf03554b1bf6fda51853b793f16e45c241dbfd2adfceb97c26bcb90389,"[(id, 0)]",ExecutionSuccess,6.84,6.84,6.919,0.03045915297574761,5
42,executor,1668618370224,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,cb13b1c0fd9eacb64d1a214b16475e1a6155b71e20c9e5ad1accfc06ed04a37f,"[(id, 0)]",ExecutionSuccess,6.812,6.812,7.483,0.2502058352636882,5
43,executor,1668618372689,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,ddce8caf03554b1bf6fda51853b793f16e45c241dbfd2adfceb97c26bcb90389,"[(id, 0)]",ExecutionSuccess,6.829,6.829,6.872,0.016265300489078087,5
44,executor,1668618375190,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,91ab2bf2cfce6c126dfc66333d2c3546f03db13edafbdf4bd6c15e003f8567d9,"[(id, 0)]",ExecutionSuccess,6.817,6.817,6.862,0.01519999999999995,5
45,executor,1668618377982,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4e2698b38dfb949b7e9799bfe69d5f78785f198b196c27a3e3b2141630e30bca,"[(id, 0)]",ExecutionSuccess,6.794,6.794,6.855,0.02209615351141487,5
46,executor,1668618380476,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a0e748b0c26f159a45af31312b823984a0cd3faeb6c02bba5060c01a3398f8ea,"[(id, 0)]",ExecutionSuccess,6.884,6.884,8.332,0.5593616361532139,5
47,executor,1668618383034,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,8f1cebe5c0721f3fabeb891ef8be03a3d2d26ff3c07ea9f58df0413600ecc79a,"[(id, 0)]",ExecutionSuccess,6.873,6.873,8.999,0.8247393285153802,5
48,executor,1668618385398,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,b015ab1812415f6cbb5f48538a214874b8705740b24d82211bde474773c3bff3,"[(id, 0)]",ExecutionSuccess,6.756,6.756,8.016,0.47149948038147393,5
49,executor,1668618388403,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,b015ab1812415f6cbb5f48538a214874b8705740b24d82211bde474773c3bff3,"[(id, 0)]",ExecutionSuccess,6.799,6.799,7.42,0.237252270800513,5
